,m/z,I,RelInt,S/N,Res.
4102,316.05714,3536946,0.002921240496960098,14.3,413016
4103,316.06159,31207476,0.02577493201737045,139.5,403266
4104,316.06967,9429047,0.0077876546444701515,41.0,411717
4105,316.07412,12927033,0.010676717231515434,56.8,394020
4106,316.0768,10573882,0.008733198728077114,46.1,417916
4107,316.08097,1571388,0.0012978434677931568,5.4,483320
4108,316.08261,2078781,0.0017169103632091668,7.7,465532
4109,316.08481,1989694,0.0016433314756172488,7.3,509405
4110,316.08944,2820160,0.0023292313764210677,11.0,460618
4111,316.09792,13848643,0.011437894940873562,61.0,404707
4112,316.10606,4220999,0.0034862147220873817,17.4,401095
4113,316.11052,4231241,0.0034946738122657063,17.4,415763
4114,316.13432,4776019,0.0039446177908995135,19.9,419374
4115,316.13534,1286228,0.0010623236322872876,4.1,501710
4116,316.14236,2052183,0.0016949424975029488,7.6,480261
4117,316.14697,1854553,0.0015317155894828025,6.7,432119
4118,316.15542,1424476,0.0011765056571821375,4.7,501463
4119,316.16349,1492320,0.0012325394898376999,5.0,453118
4120,316.17086,1439331,0.0011887747242197294,4.8,541606
4121,316.89012,1335448,0.0011029754989712506,4.3,483230
4122,316.97618,1579453,0.001304504526403603,5.4,534329
4123,316.9939,1437893,0.0011875870487973088,4.8,483447
4124,317.00521,2001353,0.001652960896862034,7.3,429045
4125,317.00677,2126794,0.001756565342386272,7.9,413944
4126,317.00924,4329931,0.003576184026061731,17.9,430336
4127,317.01337,2660813,0.002197623229316447,10.3,378657
4128,317.02791,5125587,0.004233333592057164,21.5,424124
4129,317.03035,7948756,0.006565050166910821,34.3,409390
4130,317.03303,10492373,0.008665878675221707,45.8,425400
4131,317.04111,2662873,0.0021993246280439757,10.3,577765
4132,317.04186,2147801,0.0017739154797985028,8.0,600779
4133,317.04564,47829468,0.03950339611338627,214.8,406096
4134,317.0482,2180572,0.0018009817602353201,8.1,368022
4135,317.05689,11119072,0.009183482986456427,48.6,425311
4136,317.0609,17080802,0.014107405236878662,75.6,410140
4137,317.06499,6457827,0.005333659534175059,27.5,414545
4138,317.06676,3210212,0.00265138379218322,12.8,389584
4139,317.06944,8610277,0.007111414724014476,37.2,400618
4140,317.07214,3729894,0.0030806004395228224,15.2,382885
4141,317.07753,3709417,0.0030636880406181596,15.1,441635
4142,317.0802,2874346,0.0023739847703287725,11.3,373990
4143,317.08201,30568938,0.025247549618982713,136.6,406425
4144,317.08473,3985900,0.003292041353425598,16.3,380420
4145,317.09323,4670960,0.003857847281717261,19.4,445708
4146,317.09724,6926833,0.005721021772817455,29.6,406198
4147,317.10136,2449395,0.0020230085127258316,9.4,472516
4148,317.1032,2251252,0.001859357906867228,8.5,386442
4149,317.11831,12792314,0.010565449884343618,56.2,397613
4150,317.13935,3339779,0.00275839599069279,13.4,417500
4151,317.15467,7481866,0.006179435578611847,32.1,415999
4152,317.17584,3546643,0.002929249459805169,14.3,394410
4153,317.19116,4175386,0.003448541955020019,17.2,461333
4154,317.21235,3636771,0.0030036881318996874,14.7,469856
4155,317.24871,2464306,0.0020353238313793173,9.4,509005
4156,318.00195,1292152,0.0010672163925115013,4.1,566422
4157,318.00431,1950585,0.0016110305033672871,7.1,485820
4158,318.01349,1363581,0.0011262111545059911,4.4,396910
4159,318.01697,7289726,0.006020742980792737,31.3,404892
4160,318.02303,4634497,0.00382773169831829,19.3,410063
4161,318.02552,5927810,0.004895906985937879,25.1,377542
4162,318.02829,1913731,0.001580591984578771,6.9,484032
4163,318.0312,1385604,0.001144400428378013,4.5,291584
4164,318.03643,1926535,0.0015911670861842454,7.0,303085
4165,318.04083,28578696,0.023603765538267072,127.6,405889
4166,318.04262,1492873,0.0012329962245446531,5.0,624991
4167,318.04898,9452428,0.007806965520027602,41.1,420083
4168,318.05344,12891022,0.010646974964730464,56.6,397086
4169,318.0561,10607503,0.008760967041969464,46.3,418825
4170,318.06016,2154385,0.0017793533483528956,8.0,363489
4171,318.06202,2779026,0.002295257912703511,10.9,410469
4172,318.06415,3823507,0.003157917448785029,15.6,503064
4173,318.06873,10251157,0.008466653143445217,44.7,412916
4174,318.07727,21529496,0.017781678203269275,95.7,409662
4175,318.07991,2701722,0.002231410860648715,10.5,414681
4176,318.0854,7658396,0.006325235538500511,32.9,432562
4177,318.08986,6579102,0.00543382318984547,28.1,396561
4178,318.09255,9192351,0.007592162278833676,39.9,409146
4179,318.09863,1349538,0.001114612735898862,4.4,292779
4180,318.10055,1420194,0.0011729690604096725,4.7,649934
4181,318.10513,2113444,0.0017455392875258308,7.8,442940
4182,318.11364,8166312,0.006744734390972102,35.2,425318
4183,318.12176,2876332,0.0023756250508495842,11.3,456599
4184,318.12623,3256238,0.002689397664917801,13.0,447159
4185,318.14995,3300280,0.0027257729089749947,13.2,438068
4186,318.15807,2098107,0.0017328721262228658,7.8,518138
4187,318.18626,1365959,0.0011281751963380608,4.5,499524
4188,318.19123,1310794,0.001082613225073924,4.2,402275
4189,318.5588,1668201,0.00137780342653502,5.8,337076
4190,318.85728,6460651,0.005335991937090856,27.5,420149
4191,318.99195,1443109,0.0011918950564491486,4.8,481082
4192,319.00714,5848364,0.004830290809575139,24.7,423421
4193,319.00962,4240685,0.0035024738169175426,17.5,435934
4194,319.01236,2479918,0.0020482181211531904,9.5,438573
4195,319.02091,1592113,0.001314960695282493,5.5,574942
4196,319.02248,1896754,0.001566570311667482,6.9,462770
4197,319.02484,25130292,0.02075565380156564,112.0,399178
4198,319.03601,8877368,0.0073320109800991224,38.5,414547
4199,319.04005,5756218,0.0047541854274650115,24.3,389831
4200,319.04416,4932924,0.004074209037182472,20.6,405037
4201,319.04586,2117436,0.001748836367001702,7.9,358651
4202,319.04859,7558462,0.00624269787809427,32.5,412347
4203,319.05127,2747199,0.0022689713023631925,10.7,420712
4204,319.05672,2145089,0.001771675580114494,8.0,392022
4205,319.06119,33494338,0.027663700996415973,149.9,391717
4206,319.06383,8869188,0.007325254940491751,38.4,390663
4207,319.07247,6001992,0.004957175510406586,25.4,460391
4208,319.07646,25834826,0.021337543729284435,115.2,399850
