,m/z,I,RelInt,S/N,Res.
3753,297.09787,29174798,0.019580962097143446,131.1,391983
3754,297.10905,3244052,0.002177278459757027,13.0,507171
3755,297.11306,4133398,0.0027741720635189497,17.1,388919
3756,297.13422,20470818,0.013739197486663723,91.5,403147
3757,297.14562,2367017,0.0015886475087263394,9.0,464042
3758,297.14959,1749036,0.001173883281815332,6.2,387400
3759,297.15296,21007406,0.014099333974662098,93.9,398917
3760,297.17078,8506424,0.005709172893887092,37.0,392091
3761,297.2072,1812045,0.0012161724123443218,6.5,408946
3762,297.51208,1400575,0.000940010141259819,4.6,317643
3763,297.51988,1655043,0.0011107989248851896,5.8,522686
3764,297.53037,1573897,0.0010563369625321067,5.4,397065
3765,297.53782,1349134,0.0009054849914630951,4.4,421859
3766,297.54868,1582612,0.0010621861233275508,5.5,487200
3767,297.99924,2270747,0.0015240349201116042,8.6,433180
3768,298.00744,2293280,0.0015391581719995842,8.7,549358
3769,298.0119,8027683,0.005387861007671168,34.8,420282
3770,298.01929,1264039,0.000848372617637699,4.0,245601
3771,298.02247,3209769,0.0021542690759876392,12.9,382950
3772,298.02719,2091307,0.0014036019409797034,7.8,376218
3773,298.02879,1752620,0.0011762887198292016,6.2,519542
3774,298.03008,3817005,0.002561821686978159,15.6,412627
3775,298.03577,11646512,0.007816674858757422,51.3,417233
3776,298.03911,1346738,0.0009038768917194481,4.4,318259
3777,298.0407,4076083,0.002735704518941682,16.8,428129
3778,298.04389,4122165,0.002766632921440324,17.0,438698
3779,298.04696,2317367,0.0015553244067763902,8.8,432533
3780,298.04829,8142392,0.005464849118478353,35.3,425421
3781,298.05102,1335865,0.0008965793672984653,4.3,398973
3782,298.05501,1290428,0.0008660838631031011,4.1,402294
3783,298.05687,4600381,0.003087592448572184,19.2,387538
3784,298.05886,3328062,0.002233662624808693,13.4,378653
3785,298.06357,2948673,0.0019790318428209944,11.7,404476
3786,298.06498,3449410,0.0023151065679189132,14.0,483887
3787,298.07205,7343686,0.004928789471629691,31.7,426874
3788,298.08013,2160202,0.0014498415202111585,8.1,473089
3789,298.08453,2693197,0.0018075665297542227,10.5,413530
3790,298.09313,3867730,0.002595866286100237,15.9,377056
3791,298.10123,4006487,0.002688994456437983,16.5,401150
3792,298.10439,1495897,0.0010039864700427605,5.1,489709
3793,298.10838,1698651,0.0011400668771476947,6.0,492672
3794,298.12951,1722983,0.0011563975461637303,6.1,368329
3795,298.13771,3326572,0.0022326625961701144,13.4,455641
3796,298.14082,3533934,0.002371835709292881,14.4,395497
3797,298.15638,4154999,0.002788669794137698,17.2,470810
3798,298.17416,2014849,0.0013522863774572621,7.4,498211
3799,298.17725,1877123,0.0012598501732445995,6.8,469699
3800,298.38315,1431292,0.0009606261678982194,4.8,470656
3801,298.5095,1630022,0.0010940058265188316,5.7,484632
3802,298.52001,1396045,0.0009369697857344761,4.6,540399
3803,298.52752,1901905,0.001276482864332689,6.9,452501
3804,298.53818,1489111,0.0009994319771961875,5.0,320838
3805,298.98322,3004510,0.002016507412681605,11.9,391390
3806,299.00139,2930792,0.0019670308279978914,11.6,467812
3807,299.00435,1761130,0.001182000292791821,6.3,478702
3808,299.00897,1456237,0.0009773682580924085,4.9,514746
3809,299.01205,1911406,0.0012828595570139876,7.0,455160
3810,299.01968,28614770,0.019205093614991862,128.5,394731
3811,299.02303,1671541,0.0011218717252068466,5.9,356177
3812,299.0274,1781368,0.0011955832321123262,6.4,408596
3813,299.03096,5132410,0.003444669117400573,21.6,361114
3814,299.03496,4179068,0.002804823948031622,17.3,409673
3815,299.03797,3210366,0.0021546697586032307,12.9,474302
3816,299.04087,9703551,0.006512636842890853,42.4,396942
3817,299.04194,1435008,0.0009631201990532248,4.8,513290
3818,299.0436,2509953,0.0016845804573732263,9.7,464545
3819,299.0485,3038852,0.0020395563949004393,12.1,441454
3820,299.05222,2246790,0.0015079559361556136,8.5,564870
3821,299.05614,26701960,0.017921291749113066,116.8,410649
3822,299.05853,1923722,0.0012911255655460232,6.8,485249
3823,299.06739,5584015,0.003747768401511485,23.1,445722
3824,299.07139,3351186,0.002249182532351304,13.2,428879
3825,299.07725,21127316,0.014179812789462065,92.1,406517
3826,299.08857,3172508,0.0021292609772614146,12.4,467510
3827,299.09248,11962526,0.008028770865597527,51.4,397783
3828,299.09579,1583008,0.0010624519027509585,5.3,516056
3829,299.10381,2234789,0.0014999013430740155,8.2,412891
3830,299.11355,22888618,0.015361928521801427,99.9,398577
3831,299.12476,4269233,0.0028653391038688256,17.3,400011
3832,299.12872,4586676,0.003078394198577742,18.7,391511
3833,299.14993,15167680,0.010179942537446213,65.6,403654
3834,299.16121,3074759,0.0020636557427698623,12.0,403204
3835,299.1654,2293193,0.001539099781065654,8.5,344939
3836,299.18643,11327701,0.007602701616949461,48.6,423743
3837,299.20171,12671199,0.008504403949750121,54.5,414699
3838,299.22277,4182251,0.0028069602508212833,16.9,440416
3839,299.51741,1411482,0.0009473304851262457,4.6,297924
3840,299.52496,1623966,0.001089941280589146,5.5,384769
3841,299.52774,1591968,0.001068465497785632,5.4,480380
3842,299.53541,1390756,0.0009334200196476024,4.5,421149
3843,299.54598,1638827,0.0010999153917286865,5.6,399104
3844,299.99104,1948339,0.0013076475152076928,7.0,480751
3845,299.99875,1366200,0.0009169390107557001,4.4,604866
3846,300.00926,2798782,0.0018784309752604743,10.7,388305
3847,300.01486,7533250,0.005056017276222645,31.7,403579
3848,300.01685,1936067,0.0012994110377227022,6.9,430620
3849,300.01978,2171076,0.0014571397157923014,7.9,429997
3850,300.02297,3663558,0.0024588341738882528,14.6,427186
3851,300.02747,8710857,0.005846380178900867,37.0,381863
3852,300.03554,1343502,0.0009017050174413004,4.3,300550
3853,300.03808,3149519,0.00211383167634042,12.3,422384
3854,300.04286,5048018,0.0033880285691677407,20.7,422255
3855,300.04575,2759380,0.0018519859226314328,10.6,422952
3856,300.04907,3287766,0.002206617554996505,12.9,415408
3857,300.05139,14230231,0.009550764116502047,61.4,420875
3858,300.05637,2688218,0.001804224823316986,10.2,448883
3859,300.05952,5075676,0.0034065915168763347,20.8,451949
3860,300.06272,3125470,0.0020976909456496984,12.2,438480
3861,300.064,5381855,0.0036120866635416613,22.2,397441
3862,300.06659,2399456,0.0016104192731604663,9.0,462398
3863,300.07254,3352804,0.0022502684694903777,13.2,429661
3864,300.07443,2237157,0.0015014906503331795,8.2,389583
3865,300.07924,1705448,0.0011446287527560291,5.9,278605
3866,300.08064,3486441,0.0023399602998083104,13.8,466497
3867,300.08375,1625323,0.0010908520449264285,5.5,541765
3868,300.0878,5860077,0.003933050217634483,24.3,414933
3869,300.09268,1292208,0.0008672785281881142,4.0,284351
3870,300.09583,2833138,0.0019014893537215507,10.9,513775
3871,300.09899,1431284,0.0009606207986169385,4.7,477146
3872,300.10026,2060788,0.0013831188040530065,7.5,380737
3873,300.10875,1793785,0.0012039170278205337,6.3,381648
3874,300.11687,3810046,0.002557151083423885,15.2,398095
3875,300.11996,3349248,0.0022478818239609916,13.2,434937
3876,300.12395,2118403,0.0014217876966783102,7.7,535880
3877,300.15328,2473748,0.0016602811037760882,9.3,476795
3878,300.15644,3072790,0.002062334228414586,11.9,436083
3879,300.18974,1388586,0.0009319636021001425,4.5,443902
3880,300.1929,3636012,0.002440346396117592,14.4,420523
3881,300.20503,3265843,0.002191903710806198,12.8,405390
3882,300.51112,1568490,0.0010527079995463389,5.3,445300
3883,300.52097,1392752,0.0009347596553272015,4.5,316875
3884,300.52524,2019314,0.0013552831075721971,7.3,429981
3885,300.52923,1573877,0.0010563235393289043,5.3,538786
