,m/z,I,I %,Res.,S/N
16040,477.00997,22414077,0.2,479558,17.4
16041,477.02514,19022650,0.2,486212,14.4
16042,477.04367,7437189,0.1,675459,4.2
16043,477.04645,19334033,0.2,418357,14.7
16044,477.04881,9237402,0.1,508110,5.8
16045,477.06009,11283399,0.1,594441,7.6
16046,477.06159,49378254,0.5,450932,41.1
16047,477.07292,9384956,0.1,666073,5.9
16048,477.08106,9997341,0.1,557778,6.5
16049,477.08275,22506531,0.2,445935,17.5
16050,477.09387,8727632,0.1,503699,5.3
16051,477.09799,26973281,0.3,479305,21.4
16052,477.10932,7989391,0.1,446572,4.7
16053,477.11909,21824695,0.2,476535,16.9
16054,477.13438,10296565,0.1,463939,6.7
16055,477.15549,22115658,0.2,523829,17.1
16056,477.17083,8452489,0.1,550090,5.1
16057,477.19193,31131102,0.3,446543,25.1
16058,477.21147,8118317,0.1,448660,4.8
16059,477.21291,11146803,0.1,582419,7.5
16060,477.22827,31676018,0.3,481128,25.5
16061,477.24934,7426759,0.1,655831,4.2
16062,477.26474,28251909,0.3,466342,22.5
16063,477.35849,10086530,0.1,527393,6.5
16064,477.39266,9093388,0.1,489442,5.7
16065,477.3958,7946009,0.1,415817,4.7
16066,477.43044,7351206,0.1,292747,4.1
16067,477.57181,7519204,0.1,419274,4.3
16068,478.01309,7348969,0.1,516688,4.1
16069,478.02025,8252166,0.1,462237,4.9
16070,478.0288,9493289,0.1,504908,6.0
16071,478.03296,8705850,0.1,492510,5.3
16072,478.04142,9720669,0.1,550158,6.2
16073,478.05553,7273366,0.1,812532,4.1
16074,478.05682,33125275,0.4,467379,26.8
16075,478.06485,14216124,0.2,521584,10.2
16076,478.06962,9759696,0.1,605388,6.2
16077,478.07787,9872369,0.1,475114,6.3
16078,478.09201,9002027,0.1,632823,5.6
16079,478.09322,18625584,0.2,536142,14.0
16080,478.09797,9878595,0.1,406130,6.4
16081,478.10137,10998865,0.1,535080,7.3
16082,478.10575,9156707,0.1,409024,5.7
16083,478.11436,11930758,0.1,441719,8.2
16084,478.12239,8525991,0.1,479465,5.2
16085,478.12982,9701573,0.1,460634,6.2
16086,478.15081,7458075,0.1,613399,4.2
16087,478.15865,8877371,0.1,504753,5.5
16088,478.18711,9627055,0.1,557073,6.1
16089,478.19535,10912209,0.1,503653,7.3
16090,478.22262,7255616,0.1,592344,4.0
16091,478.23152,10695268,0.1,470296,7.1
16092,478.35149,8150607,0.1,148584,4.8
16093,478.37168,8928417,0.1,343183,5.5
16094,478.43895,10291636,0.1,429666,6.7
16095,478.45225,8361451,0.1,550006,5.0
16096,478.48727,8589946,0.1,411852,5.2
16097,478.57641,7542759,0.1,448250,4.3
16098,478.67659,8452481,0.1,512351,5.1
16099,478.78984,13854545,0.1,561286,9.8
16100,478.98788,8024702,0.1,442675,4.7
