,m/z,I,I %,Res.,S/N
223,208.4511,5037958,0.1,695160,4.3
224,208.45598,5056559,0.1,1355225,4.3
225,208.46438,5839425,0.1,491811,5.4
226,208.47624,5374106,0.1,1083494,4.8
227,208.48308,5383910,0.1,1033404,4.8
228,208.48542,4831792,0.1,824148,4.0
229,208.49051,4985038,0.1,1040617,4.2
230,208.49821,4845054,0.1,513575,4.0
231,208.49961,5359447,0.1,1243928,4.7
232,208.51072,5609069,0.1,982998,5.1
233,208.51457,6910365,0.2,1039702,6.8
234,208.51867,6405914,0.1,1144859,6.2
235,208.52278,5543107,0.1,1022226,5.0
236,208.52694,5395283,0.1,780236,4.8
237,208.54439,5138736,0.1,1127615,4.4
238,208.54678,5139241,0.1,1176887,4.4
239,208.56065,5590140,0.1,1023047,5.1
240,208.56444,5226559,0.1,1060765,4.6
241,208.57755,4882514,0.1,436673,4.1
242,208.58471,5315086,0.1,1019703,4.7
243,208.59927,5472814,0.1,676641,4.9
244,208.60176,5444790,0.1,1221419,4.9
245,208.63116,5116183,0.1,1029275,4.4
246,208.65558,5580206,0.1,1183051,5.0
247,208.66904,4811292,0.1,780167,4.0
248,208.68586,5121227,0.1,1114908,4.4
249,208.70714,4901297,0.1,1047374,4.1
250,208.73032,5079171,0.1,697635,4.4
251,208.7364,5367639,0.1,1177496,4.8
252,208.75142,5559856,0.1,1139171,5.0
253,208.75516,5784308,0.1,687792,5.3
254,208.76044,5209378,0.1,782011,4.5
255,208.76974,5017154,0.1,860763,4.3
256,208.77261,5022158,0.1,866830,4.3
257,208.7762,5615593,0.1,965670,5.1
258,208.77837,5246123,0.1,876245,4.6
259,208.78179,5766567,0.1,770507,5.3
260,208.79517,4822852,0.1,1078685,4.0
261,208.79646,4956961,0.1,1248556,4.2
262,208.79737,5546787,0.1,978956,5.0
263,208.79815,5909395,0.1,1191506,5.5
264,208.79866,5471411,0.1,1209731,4.9
265,208.80131,5529844,0.1,1098653,5.0
266,208.80198,5444956,0.1,1091439,4.9
267,208.80639,5073729,0.1,735238,4.4
268,208.80799,5067302,0.1,924629,4.3
269,208.82762,5283079,0.1,974268,4.6
270,208.82876,5023321,0.1,679641,4.3
271,208.82942,4844024,0.1,1014595,4.0
272,208.85347,5174303,0.1,963688,4.5
273,208.86961,5070530,0.1,1004068,4.4
274,208.87188,5640787,0.1,1028742,5.1
275,208.87872,5010011,0.1,1039608,4.3
276,208.88594,5445718,0.1,851233,4.9
277,208.89783,4909614,0.1,921482,4.1
278,208.91546,5081410,0.1,1078388,4.4
279,208.91647,5203466,0.1,642147,4.5
280,208.91929,5193967,0.1,1020035,4.5
281,208.91959,5450591,0.1,1299129,4.9
282,208.9232,5955196,0.1,1150526,5.6
283,208.92433,4979472,0.1,1291966,4.2
284,208.92988,6913294,0.2,1065987,6.9
285,208.93283,4864970,0.1,750345,4.1
286,208.94946,5176047,0.1,600236,4.5
287,208.95108,4955264,0.1,1166162,4.2
288,208.95756,4854039,0.1,488572,4.1
289,208.96335,5031752,0.1,1321745,4.3
290,208.99523,5291329,0.1,956441,4.7
291,209.00487,4992364,0.1,765115,4.2
292,209.01536,4841779,0.1,1187967,4.0
293,209.01772,6533273,0.1,552347,6.3
294,209.01908,5409944,0.1,1002156,4.8
295,209.02595,4928258,0.1,525125,4.2
296,209.03116,5094486,0.1,1290876,4.4
297,209.03581,5179541,0.1,1208784,4.5
298,209.04371,6252640,0.1,1217281,6.0
299,209.06414,5306728,0.1,560471,4.7
300,209.0811,5100276,0.1,835300,4.4
301,209.08414,5966928,0.1,483172,5.6
302,209.0858,4845978,0.1,1132146,4.0
