,m/z,I,I %,Res.,S/N
9377,331.15116,8138100,1.4,724464,6.4
9378,331.15404,9033595,1.6,513305,7.3
9379,331.15513,43935102,7.6,520311,44.9
9380,331.17041,6263969,1.1,519047,4.3
9381,331.17624,15289775,2.6,588940,14.1
9382,331.19157,15862227,2.7,512024,14.7
9383,331.2126,12229125,2.1,662862,10.8
9384,331.22764,7183400,1.2,756918,5.3
9385,331.39572,6350773,1.1,468534,4.4
9386,331.42281,6323189,1.1,509949,4.4
9387,331.43315,6036365,1.0,377470,4.1
9388,331.49268,6734490,1.2,751850,4.8
9389,331.54361,6634258,1.1,978584,4.7
9390,331.56064,6361915,1.1,638837,4.4
9391,331.6587,6031395,1.0,713533,4.1
9392,331.7641,5978782,1.0,538708,4.0
9393,331.84633,5969121,1.0,587104,4.0
9394,331.88123,7208244,1.2,617052,5.4
9395,331.89948,6774368,1.2,341709,4.9
9396,331.90186,6050662,1.0,573868,4.1
9397,331.93554,6728886,1.2,798464,4.8
9398,331.9451,6263757,1.1,755377,4.3
9399,331.98484,7318827,1.3,539492,5.4
9400,332.0047,12229979,2.1,637650,10.7
9401,332.01289,10796911,1.9,608870,9.1
9402,332.01725,7558009,1.3,362967,5.7
9403,332.02465,6950283,1.2,788313,5.0
9404,332.02907,6436757,1.1,960845,4.5
9405,332.0326,12154270,2.1,739405,10.6
9406,332.03568,6143269,1.1,472562,4.2
9407,332.03812,6124971,1.1,783396,4.1
9408,332.04113,50259378,8.7,411413,51.2
9409,332.04919,26727877,4.6,449977,26.1
9410,332.05236,10961357,1.9,444184,9.3
9411,332.05348,14420432,2.5,471546,13.0
9412,332.05597,14749141,2.6,726851,13.3
9413,332.06733,6439153,1.1,471056,4.5
9414,332.0774,60075529,10.4,465363,61.6
9415,332.08547,28187164,4.9,500073,27.6
9416,332.08859,12178979,2.1,559230,10.6
9417,332.09665,6631479,1.1,1076751,4.7
9418,332.10736,6637904,1.1,666117,4.7
9419,332.11378,31565408,5.5,462751,31.2
9420,332.12052,6423664,1.1,821972,4.5
9421,332.12193,14020723,2.4,554985,12.6
9422,332.12509,7016571,1.2,429806,5.1
9423,332.13283,6956941,1.2,689621,5.0
9424,332.14131,6646433,1.2,787691,4.7
9425,332.15027,9175991,1.6,462034,7.4
9426,332.15843,7886795,1.4,293140,6.0
9427,332.21593,8744276,1.5,592835,6.9
9428,332.32373,6107991,1.1,701410,4.1
9429,332.33373,6325359,1.1,680580,4.4
9430,332.3759,6079188,1.1,765514,4.1
9431,332.47642,6510022,1.1,355028,4.6
9432,332.58605,6931662,1.2,753252,5.0
9433,332.62059,6303521,1.1,598743,4.3
9434,332.65553,7701878,1.3,700420,5.8
9435,332.74454,6813261,1.2,819004,4.9
9436,332.75005,6195290,1.1,547123,4.2
9437,332.75385,6318180,1.1,680369,4.4
9438,332.83928,6270002,1.1,680026,4.3
9439,332.84158,6681400,1.2,619322,4.7
9440,332.989,8666782,1.5,485507,6.9
9441,333.00308,8428224,1.5,714912,6.6
9442,333.00417,24372931,4.2,635000,23.6
9443,333.01467,9111260,1.6,758115,7.3
9444,333.02419,11388659,2.0,747215,9.8
9445,333.02525,155102966,26.9,565093,162.8
9446,333.02731,7234811,1.3,306686,5.3
9447,333.03228,7854855,1.4,714578,6.0
9448,333.03295,7113481,1.2,726707,5.2
9449,333.0357,6393615,1.1,879607,4.4
9450,333.03651,23930641,4.1,694353,23.1
9451,333.03957,7707417,1.3,710357,5.8
9452,333.04051,51822363,9.0,556132,52.8
9453,333.04345,8125218,1.4,915528,6.3
9454,333.04464,15080229,2.6,529731,13.7
9455,333.04632,7837993,1.4,672179,6.0
9456,333.05159,12067638,2.1,380013,10.5
9457,333.06071,31516492,5.5,648977,31.2
9458,333.06164,306827086,53.1,558844,324.4
9459,333.06278,8236881,1.4,1479682,6.4
9460,333.07287,47640426,8.2,609866,48.4
9461,333.0769,34590580,6.0,621111,34.5
9462,333.08096,12856190,2.2,723950,11.3
9463,333.08278,15728514,2.7,689392,14.4
9464,333.08425,8210822,1.4,528366,6.4
9465,333.08815,8088463,1.4,968916,6.2
9466,333.09801,208629671,36.1,567695,219.8
9467,333.10154,6563504,1.1,625290,4.6
9468,333.10926,40890306,7.1,560343,41.2
9469,333.11332,6767564,1.2,976053,4.8
9470,333.11702,7657429,1.3,399675,5.8
9471,333.11904,7832794,1.4,473596,6.0
9472,333.13441,111046656,19.2,581851,115.9
9473,333.13744,6987783,1.2,337725,5.1
9474,333.14566,11913755,2.1,670532,10.3
9475,333.15566,11086900,1.9,428644,9.4
9476,333.15646,8328757,1.4,754876,6.5
9477,333.15759,6161464,1.1,690484,4.2
9478,333.1668,8098895,1.4,722439,6.2
9479,333.17078,46987352,8.1,551148,47.7
9480,333.20713,15585457,2.7,641707,14.2
9481,333.23872,6897406,1.2,601700,5.0
9482,333.32372,6570958,1.1,539142,4.6
9483,333.39326,5998456,1.0,616579,4.0
9484,333.45272,6312458,1.1,726406,4.3
9485,333.5301,6170567,1.1,765174,4.2
9486,333.61903,6092194,1.1,635077,4.1
9487,333.72467,6796710,1.2,665255,4.9
9488,333.92242,6027150,1.0,777949,4.0
9489,333.94654,7415754,1.3,726574,5.5
9490,333.95104,6004693,1.0,384809,4.0
9491,334.00272,6772309,1.2,352251,4.8
9492,334.0116,11056235,1.9,431102,9.4
9493,334.0145,6000498,1.0,725845,4.0
9494,334.01973,12442751,2.2,626985,10.9
9495,334.02044,16518273,2.9,531546,15.2
9496,334.02842,13335700,2.3,495118,11.8
9497,334.03294,9914528,1.7,825041,8.2
9498,334.03563,15940774,2.8,596525,14.6
9499,334.03883,7657134,1.3,786492,5.8
9500,334.04355,6782650,1.2,746844,4.8
9501,334.04817,12914885,2.2,673001,11.4
9502,334.05048,7064779,1.2,658629,5.1
9503,334.05679,56477915,9.8,486422,57.8
9504,334.06346,6905067,1.2,907513,5.0
9505,334.0649,40091887,6.9,592364,40.3
9506,334.06784,8529142,1.5,392343,6.7
9507,334.07208,15269121,2.6,603927,13.9
9508,334.07597,7763722,1.3,606810,5.9
9509,334.08012,8046869,1.4,789676,6.2
9510,334.09321,57768245,10.0,511407,59.1
9511,334.10132,31381833,5.4,541525,31.0
9512,334.10374,6315855,1.1,996744,4.3
9513,334.10444,9000273,1.6,685251,7.2
9514,334.10842,6083419,1.1,629958,4.1
9515,334.11262,8544101,1.5,738894,6.7
9516,334.11322,6839655,1.2,1013460,4.9
9517,334.12955,20045711,3.5,481573,19.0
9518,334.13753,17836451,3.1,475019,16.6
9519,334.14064,6863787,1.2,655465,4.9
9520,334.17393,8775678,1.5,760951,7.0
9521,334.41294,6853201,1.2,675223,4.9
9522,334.5081,6404415,1.1,692076,4.4
9523,334.53296,6722685,1.2,462581,4.8
9524,334.56152,6807236,1.2,595759,4.9
9525,334.58643,6324483,1.1,482436,4.4
9526,334.64777,6258076,1.1,706048,4.3
9527,334.71094,7129147,1.2,308339,5.2
9528,334.75873,7327923,1.3,571867,5.4
9529,334.79595,6596625,1.1,695963,4.6
9530,334.90172,6455579,1.1,856023,4.5
9531,334.92457,6206804,1.1,575925,4.2
9532,334.9346,8630126,1.5,800359,6.8
9533,334.98337,8904169,1.5,865365,7.1
9534,335.00454,48685598,8.4,566465,49.5
9535,335.00558,6650401,1.2,1143172,4.7
9536,335.00667,6544420,1.1,910354,4.6
9537,335.01018,6075948,1.1,932311,4.1
9538,335.01216,7695409,1.3,736623,5.8
9539,335.01977,58763845,10.2,513364,60.2
9540,335.02378,6159951,1.1,915511,4.2
9541,335.03104,8991329,1.6,804915,7.2
9542,335.0375,6184306,1.1,672517,4.2
9543,335.03936,13419126,2.3,594663,11.9
9544,335.03997,22684280,3.9,643349,21.8
9545,335.04088,210068090,36.4,566805,221.4
9546,335.04338,7154304,1.2,730843,5.2
9547,335.04852,8142477,1.4,673005,6.3
9548,335.05212,22776470,3.9,692107,21.9
9549,335.05523,10839710,1.9,1001759,9.2
9550,335.05611,56447649,9.8,519139,57.7
