,m/z,I,I %,Res.,S/N
372,209.72139,5076952,0.1,1157300,4.1
373,209.74371,6090354,0.2,999634,5.5
374,209.7565,6086628,0.2,719554,5.5
375,209.76229,6036645,0.2,1306614,5.4
376,209.77273,6563818,0.2,1385720,6.1
377,209.7757,5969594,0.2,1085083,5.3
378,209.78114,5281323,0.2,749302,4.4
379,209.82681,5392254,0.2,918906,4.5
380,209.83909,6343802,0.2,793541,5.8
381,209.84666,4981825,0.1,1106633,4.0
382,209.87072,5538381,0.2,1039830,4.7
383,209.88779,5805009,0.2,1126362,5.1
384,209.89349,5907636,0.2,882739,5.2
385,209.90838,5029705,0.1,1245240,4.1
386,209.92731,5048824,0.1,886873,4.1
387,209.93379,5954426,0.2,931231,5.3
388,209.9374,5113257,0.1,964546,4.2
389,209.95162,5196974,0.2,1336221,4.3
390,209.98008,5584040,0.2,931853,4.8
391,209.98989,5210302,0.2,1220682,4.3
392,209.99512,6717968,0.2,1016731,6.3
393,210.00926,5027897,0.1,1355786,4.1
394,210.01582,5437805,0.2,1016222,4.6
395,210.0179,6697428,0.2,688375,6.3
396,210.03222,8834665,0.3,1089466,9.1
397,210.03338,5012150,0.1,962615,4.0
398,210.03397,5714936,0.2,1170954,5.0
399,210.04884,7418723,0.2,777752,7.2
400,210.05601,5618936,0.2,1110487,4.8
401,210.06412,5376429,0.2,1432998,4.5
402,210.06605,6058663,0.2,721138,5.4
403,210.07786,4999298,0.1,1061807,4.0
404,210.0823,5171492,0.2,742213,4.3
405,210.09175,5352667,0.2,1364645,4.5
406,210.09662,5461686,0.2,1328908,4.6
407,210.10415,6530451,0.2,1204431,6.0
408,210.11346,5121980,0.1,1591186,4.2
409,210.11528,5683305,0.2,923867,4.9
410,210.12316,5339828,0.2,1023187,4.5
411,210.13426,5528519,0.2,745718,4.7
412,210.13616,6183510,0.2,447195,5.6
413,210.1476,5360355,0.2,1256006,4.5
414,210.15316,5369451,0.2,1047368,4.5
415,210.15595,5279340,0.2,1276157,4.4
416,210.15704,5823280,0.2,1031811,5.1
417,210.15807,13250960,0.4,1304806,14.8
418,210.1601,5222469,0.2,498245,4.3
419,210.17242,5670464,0.2,905567,4.9
420,210.20075,6227190,0.2,980406,5.6
421,210.21282,5255648,0.2,896108,4.4
422,210.22217,5295261,0.2,701711,4.4
423,210.23778,5266665,0.2,1218808,4.4
424,210.24073,5163492,0.2,1192218,4.2
425,210.24473,6104612,0.2,1030428,5.5
426,210.24943,5744369,0.2,810077,5.0
427,210.25416,5094313,0.1,1340847,4.2
428,210.25927,5358865,0.2,1040645,4.5
429,210.26738,5147948,0.1,1426445,4.2
430,210.27568,5459051,0.2,303969,4.6
431,210.29086,6893424,0.2,1049228,6.5
432,210.29237,5354409,0.2,1046831,4.5
433,210.31331,5120672,0.1,1201149,4.2
434,210.32409,5218120,0.2,1265661,4.3
435,210.32879,5030066,0.1,1201480,4.1
436,210.33712,5072320,0.1,664849,4.1
437,210.34283,5148743,0.1,1146974,4.2
438,210.3441,5195131,0.2,962459,4.3
439,210.34526,5086312,0.1,1149170,4.1
440,210.352,5737290,0.2,1245115,5.0
441,210.35465,5586741,0.2,1270207,4.8
442,210.38577,5056030,0.1,1246383,4.1
443,210.39318,5024223,0.1,1269220,4.1
444,210.39399,5309507,0.2,1237069,4.4
445,210.4298,5802446,0.2,997136,5.1
446,210.4765,5329947,0.2,649933,4.5
447,210.48301,6921398,0.2,1254467,6.5
