,m/z,I,I %,Res.,S/N
26615,961.05523,13072391,1.3,123940,4.2
26616,961.0697,15460370,1.5,153336,5.4
26617,961.09581,22030374,2.2,231932,8.7
26618,961.10339,18491436,1.8,269625,6.9
26619,961.10866,13064240,1.3,349473,4.2
26620,961.11774,13678647,1.4,197646,4.5
26621,961.13182,24700994,2.4,184901,10.0
26622,961.15292,30386257,3.0,255473,12.9
26623,961.1685,18114653,1.8,274663,6.7
26624,961.18991,26650734,2.6,329463,11.0
26625,961.1953,14620786,1.4,198053,4.9
26626,961.20238,17811575,1.8,293903,6.5
26627,961.21942,12785796,1.3,124661,4.0
26628,961.23154,14043277,1.4,323855,4.6
26629,961.24629,23267480,2.3,101435,9.3
26630,961.25288,17959069,1.8,253977,6.6
26631,961.26521,14268583,1.4,336288,4.8
26632,961.27364,15743149,1.6,118626,5.5
26633,961.28491,13523126,1.3,315939,4.4
26634,961.29434,16763069,1.7,346535,6.0
26635,961.33462,13609179,1.3,377420,4.4
26636,961.33902,15366366,1.5,334725,5.3
26637,961.35501,17496298,1.7,118721,6.4
26638,961.36623,18467058,1.8,198867,6.9
26639,961.38451,15894784,1.6,257474,5.6
26640,961.39045,17516804,1.7,181778,6.4
26641,961.41783,16918809,1.7,155744,6.1
26642,961.43397,16419109,1.6,248507,5.8
26643,961.46142,25143610,2.5,119216,10.2
26644,961.49743,17979732,1.8,184100,6.6
26645,961.53711,15743346,1.6,191424,5.5
26646,961.5449,14621047,1.4,226894,4.9
26647,961.56078,15169923,1.5,320176,5.2
26648,961.57498,17607054,1.7,170831,6.4
26649,961.59246,21289370,2.1,229989,8.3
26650,961.70792,13984239,1.4,206627,4.6
26651,961.78129,15985189,1.6,150069,5.6
26652,961.78966,16259627,1.6,251299,5.8
26653,961.83548,14039628,1.4,221446,4.6
26654,962.1001,13769482,1.4,346885,4.5
26655,962.19441,16769869,1.7,181163,6.0
26656,962.2313,13089639,1.3,232366,4.2
26657,962.37874,13138894,1.3,303769,4.2
26658,962.42365,13140974,1.3,252323,4.2
26659,962.53922,14021694,1.4,167977,4.6
26660,962.85305,14114068,1.4,279535,4.7
26661,963.1691,15281639,1.5,191781,5.3
26662,963.18445,21024241,2.1,209356,8.2
26663,963.24155,15437334,1.5,332799,5.3
26664,963.36788,14259816,1.4,156441,4.8
26665,963.41241,15263365,1.5,235076,5.3
26666,963.45615,14024353,1.4,203619,4.6
26667,963.80127,13487997,1.3,243736,4.4
26668,964.13746,14561358,1.4,262256,4.9
26669,964.39803,13586668,1.3,254246,4.4
26670,964.41648,13705463,1.4,206835,4.5
26671,965.08914,14058111,1.4,263131,4.7
26672,965.12738,14791317,1.5,354781,5.0
26673,965.16455,15831722,1.6,141303,5.5
26674,965.18596,16368310,1.6,253505,5.8
26675,965.20052,17924799,1.8,258097,6.6
26676,965.23561,18313938,1.8,148844,6.8
26677,965.25703,16843486,1.7,227542,6.1
26678,965.35752,13837078,1.4,273312,4.5
26679,965.40324,12895024,1.3,288982,4.1
26680,965.50534,13609832,1.3,147296,4.4
26681,966.07984,15596700,1.5,215324,5.4
26682,966.11283,22785197,2.2,92261,9.0
26683,966.12523,21253300,2.1,94576,8.3
26684,966.14198,13309117,1.3,145309,4.3
26685,966.15179,19903682,2.0,193167,7.6
26686,966.16142,29021383,2.9,143734,12.2
26687,966.17525,49345742,4.9,199492,22.4
26688,966.18348,34714834,3.4,225708,15.1
26689,966.19354,42202327,4.2,160078,18.8
26690,966.21375,17237218,1.7,102066,6.3
26691,966.22452,16442599,1.6,283922,5.9
26692,966.23894,20141295,2.0,216279,7.7
26693,966.24647,17143027,1.7,206016,6.2
