mz,Intensity,s_n,res
223.89345,1059503,4.1,756231
223.90116,1156258,4.7,1411960
223.90732,1042342,4,921472
223.91295,1164491,4.7,1351791
223.91629,1450491,6.4,1300825
223.97371,1207480,5,1232449
223.98274,1139297,4.6,1395167
224.03779,1058722,4.1,1013746
224.05271,1085688,4.3,1102863
224.06057,1132456,4.5,1422060
224.06688,1377225,5.9,1387689
224.07244,1118110,4.4,1065799
224.14502,1175924,4.8,1216925
224.15852,1064490,4.1,761525
224.15971,1103826,4.4,1238482
224.17075,1397219,6.1,1161536
224.22136,1193012,4.9,1054452
224.22271,1221368,5,1060773
224.23599,1386993,6,1300677
224.26576,1048244,4,1106883
224.26732,1184444,4.8,937032
224.29475,1117831,4.4,1612793
224.3031,1185104,4.8,1376586
224.31034,1304489,5.5,1082325
224.35847,1074906,4.2,1041982
224.44608,1099983,4.3,1228716
224.44798,1048839,4,1051517
224.44963,1165979,4.7,1181354
224.46202,1255089,5.2,1308593
224.47384,1217126,5,1108428
224.4775,1284970,5.4,1070828
224.48077,1089911,4.3,1020159
224.51524,1077610,4.2,1171543
224.52927,1054844,4.1,1000204
224.53206,1457152,6.4,1341720
224.55026,1401354,6.1,1123575
224.55216,1276386,5.4,1043450
224.60188,1059432,4.1,1268834
224.61093,1054777,4.1,1085407
224.62281,1054910,4.1,1206332
224.62376,1071474,4.2,1308870
224.64567,1072581,4.2,1361943
224.64634,1041593,4,1411248
224.67308,1186584,4.8,1316450
224.68597,1097533,4.3,1057659
224.71089,1184040,4.8,1120120
224.73506,1157751,4.7,1431091
224.75757,1342393,5.7,1088693
224.76854,1081635,4.2,1300665
224.79103,1356657,5.8,978265
224.79337,1104665,4.4,1310812
224.80188,1063262,4.1,1008167
224.83012,1057722,4.1,1045795
224.84165,1119755,4.5,1359037
224.85923,1177053,4.8,1075282
224.88788,1113089,4.4,1209065
224.89165,1111025,4.4,1123308
224.95817,1597777,7.2,1185546
224.96682,1124474,4.5,744189
224.99457,1379614,6,1302162
224.99932,1090022,4.3,1390878
225.00025,1276322,5.4,939192
225.02732,1125766,4.5,1220332
225.06116,1120050,4.5,1213517
225.06559,1044070,4,1393973
225.10466,1052131,4.1,965114
225.14277,1053824,4.1,1348892
225.17476,1133180,4.5,1251480
225.18626,1108778,4.4,996224
225.18847,1213934,5,1261882
225.19256,1069159,4.2,1024233
225.24626,1064618,4.1,1022377
225.24727,1165858,4.7,912426
225.251,1060822,4.1,1586409
225.2546,1129375,4.5,1254670
225.26749,1080892,4.2,1165192
225.27344,1233529,5.1,1573198
225.30348,1226757,5.1,1391659
225.30744,1145486,4.6,1384004
225.3175,1054143,4.1,1512617
225.32183,1136704,4.6,1301863
225.35582,1057724,4.1,1288201
225.36037,1117453,4.4,1163130
225.37095,1240746,5.2,1117317
225.38197,1060812,4.1,1163180
225.41883,1201567,4.9,831590
225.42041,1139557,4.6,825874
225.45921,1070558,4.2,1245102
225.4852,1074766,4.2,1385042
225.50386,1102671,4.4,832865
225.54737,1132147,4.5,859738
225.63506,1247831,5.2,842363
225.63648,1090947,4.3,815892
225.65332,1050498,4.1,1230292
225.67711,1189345,4.9,1141379
225.68277,1063558,4.1,902151
225.70542,1090142,4.3,1093659
225.71019,1049850,4.1,1120315
225.71275,1059803,4.1,977472
225.73524,1155722,4.7,1218359
225.76368,1176366,4.8,1227476
225.8278,1085736,4.3,1551986
225.84724,1119139,4.5,1195959
225.87265,1150699,4.6,837745
225.92696,1096135,4.3,1434253
225.93954,1091189,4.3,1208035
225.96362,1092893,4.3,1299545
225.97764,1178599,4.8,1293642
226.00083,1045906,4,1551224
226.00538,1077063,4.2,787686
226.02728,1164175,4.7,1237006
226.08574,1076448,4.2,1556313
226.10969,1139644,4.6,1258212
226.14099,1176097,4.8,1292605
226.16436,1061781,4.1,923284
226.21504,1209549,5,1167037
226.2295,1164743,4.7,962175
226.24523,1048858,4,1449598
226.25281,1079867,4.2,1347761
226.28075,1096960,4.3,1008231
226.2881,1150102,4.6,731556
226.28955,1089977,4.3,1389567
226.29477,1160642,4.7,1448955
226.30835,1273084,5.3,1020660
226.33049,1041712,4,1416568
226.335,1072289,4.2,1351208
226.35817,1067683,4.2,895528
226.38531,1199634,4.9,1144314
226.39129,1073837,4.2,804140
226.41704,1096835,4.3,1167866
226.43409,1082794,4.2,1397766
226.43739,1159910,4.7,792998
226.4419,1044403,4,1434501
226.47257,1202541,4.9,951731
226.47913,1148946,4.6,1204006
226.49565,1184021,4.8,1185221
226.5398,1140732,4.6,1289095
226.55338,1072639,4.2,1203038
226.56203,1061556,4.1,842976
226.58756,1250677,5.2,942325
226.59098,1112013,4.4,1262599
226.59237,1085710,4.3,1094439
226.5973,1062423,4.1,1584762
226.60165,1047499,4,771056
226.60309,1101476,4.4,981249
226.62675,1112236,4.4,985180
226.64837,1135868,4.5,1139114
226.65009,1053400,4.1,713582
226.67588,1209469,5,1191277
226.69026,1092407,4.3,1417221
226.70952,1097547,4.3,811715
226.76451,1219761,5,1102785
