mz,Intensity,s_n,res
222.96761,1473372,6.5,1191306
222.98287,1054085,4.1,960867
223.02457,3168079,16.2,1564983
223.02479,4126095,21.7,1381493
223.03676,1293128,5.4,1334463
223.06118,1379330,5.9,1611575
223.06176,1091650,4.3,900076
223.06937,1152242,4.6,1083148
223.09201,1165464,4.7,1058304
223.14559,1186651,4.8,1242107
223.16718,1075153,4.2,1576165
223.22322,1128861,4.5,1201953
223.22415,1209629,5,948348
223.2868,1183159,4.8,823112
223.31177,1065215,4.1,1090301
223.32855,1123868,4.5,1429139
223.33157,1209797,5,1401964
223.38875,1217081,5,1219366
223.39766,1261658,5.3,1116938
223.47675,1137228,4.5,820293
223.48193,1059232,4.1,955509
223.4868,1129140,4.5,1392981
223.49972,1144689,4.6,1119218
223.50235,1097722,4.3,1410604
223.52805,1254748,5.2,1375300
223.52865,1343988,5.7,1399143
223.52976,1097876,4.3,943589
223.53632,1065856,4.1,1071709
223.54525,1058865,4.1,1166602
223.54821,1056545,4.1,987547
223.59704,1225353,5,1521219
223.60093,1093026,4.3,1444336
223.6458,1092601,4.3,1086033
223.65714,1066382,4.1,1299157
223.7581,1216495,5,1225170
223.77419,1046888,4,1151329
223.7856,1133701,4.5,1293121
223.81806,1052188,4.1,1118349
223.82989,1129869,4.5,1315519
223.87465,1078209,4.2,1308592
223.89234,1190763,4.8,1321542
223.92334,1084826,4.2,1055696
223.92854,1181418,4.8,1216773
223.96216,1087189,4.3,1282623
223.96573,1055545,4.1,1393761
224.00601,1062341,4.1,883617
224.00672,1138229,4.5,1226860
224.01963,1081966,4.2,1104151
224.04049,1085236,4.2,1357391
224.09672,1285202,5.4,1009837
224.13222,1046449,4,1433230
224.13276,1093785,4.3,972479
224.139,1101184,4.3,769842
224.1582,1147484,4.6,1253803
224.15882,1206172,4.9,957387
224.17195,1106237,4.4,1275312
224.24693,1153421,4.6,1173041
224.2758,1052672,4.1,921900
224.30691,1090707,4.3,1107647
224.31309,1065792,4.1,1259608
224.33081,1120109,4.4,1113666
224.33699,1184314,4.8,1214970
224.39383,1125340,4.5,1107227
224.43676,1100617,4.3,930776
224.44163,1091705,4.3,1443629
224.47391,1063545,4.1,1236978
224.48856,1059650,4.1,1021873
224.5164,1125517,4.5,1190095
224.51827,1857714,8.7,1132018
224.51985,1194874,4.9,1129650
224.52237,1127690,4.5,1498097
224.52878,1218951,5,947147
224.53728,1245812,5.2,989236
224.54442,1175286,4.8,719756
224.55461,1321874,5.6,1088646
224.56463,1048715,4,1066880
224.57759,1118712,4.4,1374760
224.58568,1049501,4,1140184
224.58924,1178609,4.8,1068905
224.64019,1072683,4.2,1322155
224.64791,1098860,4.3,942591
224.65567,1118033,4.4,1305771
224.67011,1345607,5.7,1067600
224.72592,1051245,4,1337448
224.7297,1128018,4.5,1372176
224.75226,1279276,5.4,1255321
224.81651,1055452,4.1,1256492
224.85094,1223224,5,1016204
224.87663,1047171,4,1056668
224.88033,1240916,5.1,1392382
224.89896,1159670,4.7,840863
224.99744,1162738,4.7,978728
225.00383,4155307,21.8,1574066
225.00405,7264587,39.6,1314764
225.02991,1163974,4.7,1407033
225.04023,4256944,22.4,1507551
225.04045,5710416,30.7,1307187
225.07573,1162900,4.7,1328956
225.07661,2055556,9.8,1429602
225.07683,3303028,16.9,1355436
225.09973,1092711,4.3,1345900
225.11573,1173505,4.7,1350254
225.12632,1083111,4.2,816912
225.12882,1289751,5.4,1045645
225.14215,1216949,5,1329690
225.14819,1306093,5.5,1111638
225.15629,1081647,4.2,1399058
225.18494,1052522,4.1,1204173
225.20134,1046644,4,963627
225.24647,1096083,4.3,1383083
225.24836,1152195,4.6,1231638
225.25429,1120284,4.4,1426216
225.26199,1228077,5.1,1406085
225.28225,1439255,6.3,1050161
225.29243,1129385,4.5,1179437
225.30526,1060018,4.1,1255809
225.31426,1183280,4.8,1260308
225.31957,1096756,4.3,1372534
225.32546,1048785,4,868654
225.33028,1075662,4.2,1535848
225.40581,1048776,4,1392407
225.41388,1095797,4.3,1116079
225.43184,1151108,4.6,929150
225.45431,1097679,4.3,1094678
225.45605,1104511,4.3,1636367
225.47882,1121363,4.4,1577781
225.48713,1143080,4.6,1173951
225.49158,1163200,4.7,1169509
225.52635,1109817,4.4,939755
225.54635,1055140,4.1,1064554
225.54926,1222397,5,1182809
225.58218,1053790,4.1,1151005
225.61087,1129478,4.5,1404831
225.61794,1151671,4.6,1340158
225.66627,1079918,4.2,1298064
225.67279,1109287,4.4,1395767
225.71207,1052509,4.1,1343231
225.72409,1123027,4.5,1046075
225.74519,1090454,4.3,1095623
225.75735,1195628,4.9,1527749
225.77911,1092689,4.3,772877
225.81881,1145541,4.6,933950
225.87505,1134622,4.5,1623610
225.88793,1076200,4.2,1231755
225.8998,1072642,4.2,1396993
225.90198,1147746,4.6,908000
225.90785,1068867,4.1,780677
225.92851,1075850,4.2,892010
225.95471,1185514,4.8,936846
225.98324,1076039,4.2,1346380
225.99296,1134540,4.5,1078708
226.00511,1061866,4.1,1273741
226.00793,1166135,4.7,886795
226.01374,1226652,5,1066920
226.0143,1139888,4.6,1007956
226.02334,1227517,5.1,1056966
226.06471,1146540,4.6,1475646
226.10629,1054619,4.1,1306049
226.10739,1054371,4.1,1402385
226.11436,1094812,4.3,1304019
226.13065,1122631,4.5,990939
226.13506,1203744,4.9,1436433
226.14568,1095177,4.3,908698
226.18325,1100388,4.3,934202
226.22301,1101422,4.3,1119270
226.2263,1095299,4.3,1030835
226.25618,1440900,6.3,945413
226.25848,1095600,4.3,919841
226.26311,1051229,4,1018257
226.33555,1120545,4.4,1094490
226.42914,1087018,4.2,1129390
226.44848,1223897,5,956328
226.45492,1071430,4.2,1239640
226.47556,1095714,4.3,1249652
226.47761,1291518,5.4,1042147
226.50827,1164240,4.7,1381864
226.53378,1116284,4.4,1055377
226.55066,1615351,7.3,1162226
226.58198,1201045,4.9,1065377
226.58729,1044654,4,1501074
226.58884,1069750,4.1,1376871
226.62676,1078677,4.2,1405211
226.63431,1077783,4.2,1276235
226.65143,1283002,5.4,1397172
226.70076,1086019,4.2,1258458
226.71378,1062389,4.1,1397593
226.7331,1203065,4.9,1165528
226.73692,1177566,4.8,1046889
226.77341,1138841,4.5,1574242
226.78157,1050154,4,1118833
226.80867,1185999,4.8,1435527
226.81272,1247924,5.2,922591
226.86645,1193126,4.9,1049662
226.88535,1096890,4.3,808275
226.90014,1294457,5.4,799368
226.90122,1280633,5.4,1365161
226.90343,1153641,4.6,1484989
226.90472,1054162,4.1,1277397
226.93559,1078752,4.2,1396524
226.94104,1165285,4.7,961825
226.97344,1266383,5.3,1158879
226.98687,1129770,4.5,1074817
226.99038,1297114,5.5,1043862
226.99733,1167840,4.7,1029295
227.00686,1242462,5.1,1267197
227.01947,1424256,6.2,1857978
227.0197,2752272,13.8,1296003
227.05586,2412280,11.8,1544581
227.05609,3181112,16.2,1421893
227.09247,1355751,5.8,1262559
227.09417,1081591,4.2,1083567
227.10204,1171417,4.7,1435268
227.14399,1063841,4.1,1173021
227.1865,1065670,4.1,890004
227.19675,1090884,4.3,1316693
227.20161,1886213,8.8,1180203
227.20432,1098422,4.3,1524592
227.22887,1127883,4.5,1375749
227.28743,1122071,4.4,1524642
227.31382,1116324,4.4,980297
227.33986,1061634,4.1,1397901
227.38698,1116800,4.4,1100694
227.39137,1044165,4,1325245
227.40984,1155041,4.6,739493
227.44555,1070896,4.2,1096176
227.45376,1165146,4.7,1177813
227.52319,1069433,4.1,1394090
227.56124,1056321,4.1,1416101
227.57688,1092901,4.3,1237089
227.57885,1088045,4.3,1593996
227.60829,1044464,4,986783
227.61766,1066430,4.1,953009
227.62983,1098380,4.3,842466
227.67635,1074827,4.2,848074
227.69145,1173598,4.7,1209285
227.75351,1173080,4.7,961559
227.77161,1184500,4.8,810749
