mz,Intensity,s_n,res
224.85765,1127508,4.5,1059605
224.89152,1125620,4.5,1294131
224.89445,1217913,5,881989
224.90441,1050098,4,1111930
224.94333,1110798,4.4,1047211
224.98556,1049523,4,736369
224.99875,1186185,4.8,1187110
225.00386,1234058,5.1,1490237
225.00409,1841786,8.6,1246934
225.04028,2770334,13.9,1415014
225.0405,2351534,11.5,1510455
225.07665,2920563,14.8,1326776
225.07687,3186899,16.3,1452916
225.11323,2086839,10,1338253
225.17625,1090875,4.3,1095933
225.17827,1087455,4.3,972214
225.18462,1045024,4,1433510
225.18856,1042688,4,1352303
225.20078,1434498,6.3,1053812
225.21488,1196788,4.9,1327653
225.31671,1091209,4.3,903140
225.33676,1059920,4.1,1323966
225.35167,1163250,4.7,1069752
225.35925,1114879,4.4,1019319
225.38441,1277450,5.4,1188511
225.39011,1263035,5.3,1368208
225.39243,1352219,5.8,721663
225.39521,1134611,4.5,924917
225.39811,1113588,4.4,1396430
225.49886,1094849,4.3,1314195
225.57861,1197256,4.9,859843
225.58359,1095141,4.3,1019242
225.59601,1329527,5.7,1111874
225.63177,1092320,4.3,1240601
225.63567,1045964,4,1521183
225.70148,1055666,4.1,1189691
225.72587,1073953,4.2,1260726
225.72729,1114802,4.4,1420853
225.73612,1075511,4.2,1061031
225.73697,1118807,4.4,867240
225.786,1123162,4.5,1064664
225.78933,1193787,4.9,1284799
225.79666,1199628,4.9,1330846
225.80654,1174965,4.8,914522
225.82176,1087935,4.3,1333556
225.84147,1242538,5.2,1124508
225.85445,1310468,5.5,1141592
225.90599,1159420,4.7,1146597
225.90866,1068148,4.2,1436635
225.97017,1047730,4,1244719
226.01959,1113661,4.4,1490402
226.03573,1063376,4.1,1673240
226.07087,1048017,4,1137372
226.09193,1265744,5.3,1393248
226.11751,1169232,4.7,1196728
226.12021,1349693,5.8,973064
226.14901,1133941,4.5,1119908
226.17626,1094622,4.3,1188731
226.19225,1053532,4.1,1080586
226.20514,1190610,4.9,1261943
226.21091,1063151,4.1,1264805
226.25431,1167738,4.7,1234152
226.26521,1106820,4.4,1168876
226.28104,1048983,4,1008093
226.28966,1081296,4.2,1225190
226.31637,1089333,4.3,1108172
226.32632,1065162,4.1,1077995
226.3308,1049851,4,1163151
226.43301,1052920,4.1,1277884
226.46704,1145656,4.6,833762
226.47751,1063472,4.1,733444
226.50682,1097081,4.3,942148
226.51675,1088310,4.3,1174492
226.53366,1081985,4.2,1658244
226.5339,1249985,5.2,1326710
226.53885,1169162,4.7,1389143
226.54026,1103784,4.4,695191
226.58334,1345266,5.7,1330500
226.60237,1111349,4.4,1128870
226.6362,1161519,4.7,819197
226.65876,1139583,4.6,1478418
226.66555,1111680,4.4,1251912
226.71292,1063925,4.1,999428
226.73429,1238348,5.1,1210133
226.73647,1106361,4.4,853725
226.78332,1078517,4.2,1365697
226.79488,1206455,4.9,1585605
226.81208,1096819,4.3,993120
226.82376,1327509,5.6,1018506
226.84277,1190000,4.8,1157129
226.85312,1145098,4.6,1352966
226.86006,1399347,6.1,1012810
226.86355,1116084,4.4,1002693
226.91885,1153838,4.6,1035833
226.92299,1053015,4.1,1072092
226.92571,1122143,4.5,1294799
226.92663,1055392,4.1,1602865
226.9393,1128810,4.5,1274040
226.94045,1210362,5,1021187
226.95012,1199528,4.9,893995
226.97096,1043268,4,1195577
226.98744,1060699,4.1,1412052
226.98781,1173427,4.8,1293168
227.00481,1421342,6.2,941003
227.05613,1846600,8.6,1313034
227.06867,1130254,4.5,1127585
227.09229,3575823,18.5,1512291
227.09251,5691183,30.7,1376768
227.11949,1197532,4.9,1294085
227.12043,1061812,4.1,1399282
227.12311,1097157,4.3,1304768
227.1289,1503878,6.7,1450208
227.13887,1365024,5.9,1086216
227.14816,1091354,4.3,1054125
227.18422,1053841,4.1,1295321
227.18732,1051257,4.1,1406844
227.18907,1054322,4.1,1162939
227.19715,1087291,4.3,1513632
227.22666,1059389,4.1,839200
227.23604,1052035,4.1,1279801
227.24224,1057498,4.1,737954
227.30381,1184305,4.8,1159562
227.31254,1087726,4.3,1172811
227.33516,1045175,4,1297039
227.33777,1201519,4.9,1400789
227.33944,1190656,4.9,1183800
227.35523,1076927,4.2,1123748
227.36675,1072169,4.2,820717
227.40233,1109853,4.4,1144492
227.40788,1096138,4.3,1180041
227.42313,1060657,4.1,1313035
227.43385,1188627,4.8,1376801
227.43739,1144148,4.6,1111487
227.44125,1167276,4.7,1070061
227.45073,1109078,4.4,1470669
227.52458,1148486,4.6,1322397
227.52596,1238430,5.1,1011895
227.54158,1250769,5.2,1345624
227.55987,1118365,4.4,1415008
227.57804,1165419,4.7,683933
227.58004,1142929,4.6,1412314
227.59448,1098276,4.3,1490963
227.60129,1153406,4.6,1500837
227.66108,1158259,4.7,1464561
227.77214,1181443,4.8,1027295
227.79572,1084448,4.2,1093529
227.79615,1254832,5.2,1202985
227.80489,1566626,7,1139721
227.81841,1055285,4.1,1302619
227.82881,1049691,4,841164
227.83349,1091576,4.3,910264
227.83442,1046668,4,834120
227.84994,1181348,4.8,1117915
227.85639,1148945,4.6,610789
227.86984,1044048,4,972914
227.8844,1102627,4.3,1178911
227.88593,1161460,4.7,1010042
227.9027,1234283,5.1,1029810
227.95866,1051244,4.1,1136786
227.96284,1123681,4.5,868719
228.00621,1177191,4.8,1258342
228.01357,1236488,5.1,1027447
228.01626,1131185,4.5,1291433
228.04102,1099415,4.3,937277
228.05537,1120874,4.5,924695
228.05635,1121762,4.5,1175195
228.06601,1090320,4.3,881950
228.10544,1048149,4,927980
228.1142,1334943,5.7,1100697
228.16967,1067676,4.1,1089642
228.1837,1218744,5,1121518
228.19656,1155483,4.6,605776
228.20859,1221269,5,1296683
228.21361,1047551,4,1141408
228.22542,1499449,6.6,1119125
228.24664,1143486,4.6,1078530
228.26618,1048395,4,1229324
228.2756,1047285,4,1065587
228.40185,1284556,5.4,1297992
228.43858,1169045,4.7,1405255
228.44192,1308621,5.5,1410145
228.46007,1076858,4.2,1615430
228.48669,1164076,4.7,569414
228.52407,1066498,4.1,1226294
228.56083,1074131,4.2,1268812
228.56379,1091732,4.3,1138335
228.56527,1114578,4.4,607565
228.57269,1096118,4.3,1197274
228.58982,1078898,4.2,1339289
228.60027,1084389,4.2,1078133
228.64307,1092359,4.3,1532872
228.65769,1062287,4.1,1018984
228.66502,1301461,5.5,1202717
228.66646,1301741,5.5,1028893
228.6763,1128936,4.5,1000707
228.67723,1220456,5,956942
228.82651,1088598,4.2,1306774
228.95791,1410969,6.1,1027245
228.97235,1061357,4.1,1157857
228.98911,1126273,4.5,1325166
229.00309,1390029,6,999470
229.00886,1085247,4.2,1333560
229.01411,1136208,4.5,1019906
229.01454,1240024,5.1,1062169
229.03692,1278262,5.3,1263192
229.0421,1221199,5,923256
229.05042,1301370,5.5,1328241
229.07183,1280279,5.3,646364
229.07246,1052216,4,1206009
229.07474,1140812,4.5,847113
229.08599,1070347,4.1,1191074
229.09435,1127382,4.5,1008907
229.10795,5329025,28.5,1449479
229.10817,6350273,34.3,1314740
229.12463,1253598,5.2,1339807
229.14432,2796907,14,1356808
229.14455,3019499,15.3,1307794
229.17294,1076283,4.2,1349001
229.18207,1085725,4.2,1337208
229.18717,1225325,5,593529
229.22184,1054024,4,1159835
229.24097,1203230,4.9,1289325
229.26711,1081117,4.2,1175516
229.26789,1081821,4.2,1180034
229.2963,1068077,4.1,1126254
229.31627,1104563,4.3,1302245
229.3282,1119486,4.4,1129343
229.36058,1132259,4.5,808570
229.41197,1145854,4.6,1001761
229.43209,1055991,4.1,1102955
229.45464,1081650,4.2,1372995
229.5072,1070345,4.1,1213222
229.50918,1057062,4.1,951166
229.52738,1073827,4.2,923396
229.54092,1133491,4.5,1037592
229.58988,1068029,4.1,950654
229.60624,1118798,4.4,1153339
229.62113,1079614,4.2,1020105
229.66504,1070151,4.1,1582382
229.66886,1177416,4.8,1275133
229.72313,1053944,4,1114654
229.72748,1087794,4.2,1299262
229.73311,1151659,4.6,1098759
229.78875,1092724,4.3,1510283
229.85499,1161668,4.7,1028883
229.95576,1048687,4,1340391
229.96171,1118274,4.4,715480
229.96824,1052270,4,950720
229.97791,1107621,4.4,1505361
229.97915,1061410,4.1,961874
230.00405,1065549,4.1,1043941
230.03273,1139086,4.5,1125003
230.04597,1150354,4.6,1531126
230.07949,1115693,4.4,1076904
230.08638,1111959,4.4,922307
230.09046,1175640,4.7,1387789
230.09085,1293912,5.4,1043784
230.13825,1337391,5.7,1132086
230.15405,1084112,4.2,717433
230.16541,1270072,5.3,1090056
230.21461,1160803,4.7,873234
230.2435,1322977,5.6,927555
230.27753,1143115,4.5,977363
230.29025,1097240,4.3,1031315
230.36712,1065840,4.1,882557
230.50309,1119197,4.4,776627
230.57537,1292541,5.4,1274663
230.59052,1077154,4.2,1365617
230.608,1175248,4.7,1419426
230.61659,1081586,4.2,1176806
230.64547,1071052,4.1,1189004
230.65277,1098519,4.3,1438596
230.66746,1065867,4.1,1130368
230.71685,1173548,4.7,1232003
230.76841,1206630,4.9,874965
230.77346,1131255,4.5,1091767
230.77961,1103049,4.3,1259790
230.83029,1079035,4.2,1029201
230.89956,1055883,4,1401628
230.90655,1078973,4.2,916194
230.91049,1205598,4.9,1355810
230.91541,1056120,4,1316238
230.91905,1238897,5.1,1254699
230.93031,1095369,4.3,867537
230.93677,1107955,4.3,835417
230.9472,1143779,4.5,1033950
231.02529,1265758,5.2,806420
231.02991,1243112,5.1,1295408
231.06638,1518085,6.7,939269
231.08716,1307348,5.5,1121905
231.08742,1526956,6.7,1333355
231.11608,1085498,4.2,655210
231.12359,5882937,31.5,1403069
231.12382,6932025,37.5,1278690
231.13509,1062469,4.1,1082638
231.14052,1090807,4.2,999578
231.22293,1148388,4.6,1238448
231.22343,1098156,4.3,1188399
231.25403,1175999,4.7,1270150
231.39581,1089091,4.2,936832
231.41236,1103393,4.3,1472635
231.42151,1058356,4,1212522
231.42655,1076054,4.2,1199188
231.44901,1066510,4.1,1622420
231.45096,1499407,6.6,610850
231.45218,1117552,4.4,1232127
231.45378,1060776,4.1,1167750
231.47507,1112536,4.4,1097228
231.55606,1150438,4.6,1086528
231.58069,1058559,4.1,1571708
231.59133,1091515,4.2,1410370
231.60416,1082008,4.2,1307417
231.62403,1141639,4.5,1309054
231.62454,1401679,6,1022869
231.6558,1084795,4.2,1408782
231.66028,1242189,5.1,996428
231.68473,1373014,5.8,940171
231.70573,1112430,4.4,1426050
231.72875,1308367,5.5,1111125
231.80211,1371666,5.8,1250933
231.8297,1221725,5,913112
231.83532,1252647,5.2,1092725
231.84004,1191137,4.8,1273253
231.85958,1225224,5,1014306
