mz,Intensity,s_n,res
223.97085,1228332,5.1,1239324
223.97323,1231932,5.1,928438
223.9949,1087570,4.3,1147809
224.01207,1226095,5.1,1097906
224.02264,1084452,4.3,1172100
224.03461,1055178,4.1,1321995
224.04447,1194958,4.9,1078135
224.04689,1127987,4.5,1438692
224.07446,1304725,5.5,1147584
224.13424,1077471,4.2,997265
224.15958,1088650,4.3,1190859
224.16881,1108810,4.4,1016166
224.18809,1127504,4.5,1042606
224.19353,1190705,4.9,792826
224.20148,1060858,4.1,1253108
224.20773,1079414,4.2,1104826
224.25008,1115414,4.4,1036994
224.25055,1201999,4.9,1018110
224.27364,1048165,4,1404612
224.32486,1107186,4.4,929933
224.34306,1058484,4.1,910440
224.35024,1085507,4.3,919177
224.35774,1116581,4.4,1117514
224.3706,1063369,4.1,827600
224.39585,1049557,4.1,1158869
224.39798,1049354,4.1,1018812
224.39868,1087550,4.3,935167
224.41308,1140479,4.6,1408671
224.51017,1111586,4.4,1503526
224.52673,1083012,4.2,1497703
224.52966,1065416,4.1,1208565
224.61296,1284285,5.4,1231627
224.61563,1071029,4.2,1109918
224.62198,1070962,4.2,902003
224.64085,1042768,4,1250572
224.64246,1049060,4.1,995683
224.64853,1106793,4.4,1475984
224.65565,1153746,4.7,1314865
224.66386,1132523,4.5,1306882
224.678,1049772,4.1,1422531
224.69665,1118419,4.5,1045234
224.70757,1124740,4.5,896078
224.73515,1057203,4.1,1596559
224.75595,1101085,4.4,1061756
224.76879,1133871,4.5,1312318
224.76931,1148551,4.6,1042168
224.77541,1128976,4.5,800497
224.77688,1150076,4.6,1020974
224.78294,1149609,4.6,1220189
224.78803,1048223,4,803409
224.82812,1084706,4.3,1272689
224.88309,1062732,4.1,1154429
224.89432,1527206,6.8,1091475
224.89504,1209274,5,1115556
224.99091,1047294,4,928082
225.00049,1055459,4.1,1377866
225.035,1041703,4,1317178
225.05166,1101453,4.4,979999
225.06287,1112779,4.4,944364
225.07038,1121460,4.5,1358019
225.07609,1096488,4.3,967729
225.07666,1088244,4.3,1343276
225.0839,1123349,4.5,939485
225.10161,1304744,5.5,942649
225.10337,1255568,5.2,1093312
225.14488,1064553,4.1,1092082
225.15556,1070563,4.2,1199481
225.1599,1160711,4.7,1280289
225.16347,1048984,4.1,1275272
225.17037,1244737,5.2,1410089
225.17924,1104122,4.4,1252162
225.1886,1057723,4.1,1546363
225.19025,1082253,4.2,809074
225.21052,1148990,4.6,1448416
225.21448,1258750,5.3,917743
225.21809,1137523,4.6,910119
225.22762,1208568,5,1390254
225.23194,1050053,4.1,1027087
225.24263,1087346,4.3,987814
225.25108,1042463,4,1065133
225.26781,1070369,4.2,1168641
225.27614,1093219,4.3,1276694
225.2949,1237161,5.1,920308
225.2988,1120082,4.5,1185858
225.32168,1202633,4.9,844120
225.32405,1048621,4,1555651
225.33827,1062343,4.1,1564336
225.36311,1238178,5.1,1292682
225.36665,1050291,4.1,1133293
225.37688,1062596,4.1,1303608
225.37713,1073460,4.2,1547482
225.38484,1079121,4.2,1054900
225.40042,1099163,4.3,1198183
225.40796,1359848,5.8,1291362
225.41673,1097312,4.3,728567
225.42542,1056027,4.1,1065486
225.46131,1140112,4.6,1433150
225.46664,1115769,4.4,1316434
225.47279,1058233,4.1,1515500
225.47964,1065490,4.1,1530856
225.50946,1043875,4,866967
225.51576,1066968,4.2,1227155
225.55479,1114565,4.4,1417714
225.61742,1127042,4.5,934324
225.62267,1153299,4.7,878938
225.64886,1060227,4.1,1169350
225.65215,1178899,4.8,747008
225.65452,1398492,6.1,996506
225.6619,1041297,4,1288919
225.6796,1271215,5.3,813866
225.68674,1140470,4.6,551298
225.692,1221745,5,794059
225.71411,1141060,4.6,1171774
225.718,1095305,4.3,1134242
225.72652,1913198,9,938666
225.73256,1083379,4.2,1109964
225.74124,1046176,4,1335230
225.76465,1144016,4.6,981189
225.80986,1180619,4.8,1269900
225.82025,1233500,5.1,1074014
225.84468,1111179,4.4,750727
225.87371,1171669,4.8,1016829
225.89887,1141336,4.6,1073855
225.91339,1044703,4,1011614
225.93566,1070766,4.2,1134912
225.98059,1042473,4,1263139
225.98446,1183166,4.8,1377681
226.01078,1057038,4.1,1302185
226.01893,1245827,5.2,849737
226.03065,1097737,4.3,1095030
226.05532,1258165,5.3,1065107
226.05868,1416642,6.2,1217112
226.06045,1063178,4.1,1209197
226.13119,1214069,5,1260466
226.13786,1095639,4.3,1262919
226.1446,1052540,4.1,1131027
226.16045,1065370,4.1,1246878
226.16726,1079959,4.2,1203080
226.17018,1199004,4.9,1229817
226.17385,1040760,4,1152352
226.185,1234454,5.1,1438927
226.19388,1225600,5.1,1162883
226.29696,1047657,4,1056014
226.32658,1056706,4.1,1248578
226.32774,1090950,4.3,1161960
226.34677,1056733,4.1,990069
226.37258,1092782,4.3,1486571
226.39548,1049594,4.1,1281475
226.39704,1375258,5.9,1279087
226.47288,1105251,4.4,1186032
226.51075,1080694,4.2,1137823
226.5215,1324336,5.6,1149062
226.54406,1147448,4.6,923982
226.59098,1043772,4,1336974
226.62753,1043127,4,1184608
226.63484,1083180,4.2,885235
226.63802,1085981,4.3,1154726
226.65695,1057984,4.1,1332039
226.66206,1162433,4.7,1071574
226.6824,1142693,4.6,1083414
226.69799,1349208,5.8,1163269
226.70297,1114757,4.4,1089190
226.75042,1127266,4.5,917361
226.77946,1211135,5,871157
226.7813,1081727,4.2,1121697
226.78325,1044696,4,1515799
226.78608,1100568,4.3,877093
226.79026,1095657,4.3,1216010
226.81206,1298741,5.5,1317209
226.83246,1171537,4.8,1330550
226.84759,1086024,4.3,1057617
226.85819,1140106,4.6,752756
226.86589,1080463,4.2,1545641
226.88261,1041986,4,1379427
226.89169,1184344,4.8,933490
226.89376,1126317,4.5,1108417
226.91625,1055641,4.1,1499620
226.93119,1178220,4.8,1127749
226.93319,1092212,4.3,1221224
226.93453,1062308,4.1,852850
226.9764,1062101,4.1,758679
226.98201,1092078,4.3,1105001
227.01957,1111557,4.4,1453959
227.02203,1155597,4.7,1264629
227.03631,1185208,4.8,976959
227.0677,1120806,4.5,1238533
227.06842,1280147,5.4,937435
227.06945,1199943,4.9,1215858
227.0916,1125491,4.5,799574
227.09357,1078496,4.2,1194536
227.11753,1119296,4.5,1364203
227.15187,1191151,4.9,1180959
227.17705,1076240,4.2,1064407
227.19537,1158452,4.7,894057
227.19666,1135424,4.5,1303685
227.1975,1042140,4,1049288
227.20165,5655137,30.5,909042
227.20373,1049684,4.1,890138
227.20847,1094155,4.3,776973
227.21923,1137577,4.6,803111
227.22217,1051045,4.1,1122817
227.22248,1112370,4.4,1091250
227.23212,1188807,4.9,1316361
227.25869,1108753,4.4,1112460
227.26686,1104639,4.4,1372023
227.30262,1119806,4.5,1438205
227.38802,1065240,4.1,959076
227.40777,1111916,4.4,975552
227.44413,1071436,4.2,1435220
227.45465,1110926,4.4,825958
227.48146,1226086,5.1,678232
227.4988,1047623,4,979393
227.51497,1079851,4.2,1048234
227.52155,1157484,4.7,1163197
227.53439,1139359,4.6,1457365
227.54451,1072957,4.2,1073446
227.57595,1122128,4.5,1229658
227.62164,1065858,4.1,1126107
