mz,Intensity,s_n,res
221.92118,1151806,4.6,1377033
221.93393,1126262,4.5,1240656
221.97583,1163344,4.7,884356
222.00112,1094961,4.3,1247089
222.0183,1124203,4.5,916661
222.02513,1145945,4.6,1149227
222.04043,1099842,4.3,1245552
222.05267,1043370,4,964259
222.06265,1175147,4.8,1500076
222.09133,1112276,4.4,1128073
222.10562,1041456,4,1063686
222.13156,1154377,4.7,1371323
222.16486,1464547,6.4,829357
222.23343,1186857,4.8,940447
222.25256,1050590,4.1,1052278
222.2536,1109186,4.4,990295
222.30157,1189340,4.9,1308423
222.32115,1068573,4.2,1420531
222.34722,1146778,4.6,1352503
222.35217,1166591,4.7,1500278
222.40142,1126953,4.5,1044048
222.43374,1108318,4.4,1361023
222.46747,1194984,4.9,972311
222.47242,1270272,5.3,1104651
222.51787,1057172,4.1,752719
222.58316,1405065,6.1,1270446
222.58706,1129138,4.5,1213056
222.59413,1104286,4.4,1235978
222.6507,1081385,4.2,1089844
222.66188,1174137,4.8,1130521
222.67248,1146882,4.6,1274155
222.67791,1505910,6.7,995899
222.68646,1049299,4,1183960
222.69671,1091455,4.3,876316
222.70013,1047095,4,1023572
222.77312,1198559,4.9,1151098
222.77637,1181224,4.8,1034461
222.78022,1092100,4.3,867425
222.78291,1057100,4.1,1022070
222.79462,1086577,4.3,1501971
222.80356,1193637,4.9,1012777
222.83621,1171355,4.8,902032
222.84202,1052211,4.1,898514
222.85977,1190260,4.9,1325237
222.92612,1101724,4.4,1301160
222.92869,1475820,6.5,1306804
222.93225,1061549,4.1,1432508
222.93458,1242053,5.2,1106368
222.94724,1195649,4.9,1061408
222.95166,1236390,5.1,1436488
222.99128,1113840,4.4,1237045
223.00787,1240023,5.1,784088
223.02426,1114361,4.4,738135
223.02628,1926198,9.1,970020
223.02758,1060846,4.1,1425719
223.04408,1062345,4.1,791503
223.0647,1040925,4,1228588
223.10954,1072472,4.2,1254262
223.11886,1086248,4.3,1070489
223.13253,1225505,5.1,938502
223.14867,1091522,4.3,1038246
223.16327,1060783,4.1,1192563
223.17012,1089471,4.3,1089240
223.23168,1095296,4.3,1030714
223.23672,1131144,4.5,1454933
223.25018,1126093,4.5,1168641
223.25879,1131237,4.5,1263102
223.27646,1070411,4.2,1445290
223.2825,1131099,4.5,1515722
223.29826,1127644,4.5,1295128
223.30227,1080096,4.2,1262726
223.30281,1120148,4.5,1011904
223.31379,1240345,5.1,891961
223.33901,1109443,4.4,1320523
223.36296,1176121,4.8,1157759
223.3968,1078655,4.2,1229861
223.41875,1129517,4.5,1196403
223.47162,1060061,4.1,1262187
223.53041,1985837,9.4,1412468
223.53793,1085006,4.3,1371557
223.54158,1250366,5.2,1323103
223.58226,1170605,4.7,1229509
223.60756,1075287,4.2,1320714
223.62143,1159608,4.7,1373850
223.67532,1098404,4.3,1326444
223.68218,1094533,4.3,1386184
223.68508,1144177,4.6,1004405
223.70023,1047734,4,1352905
223.78991,1242058,5.2,1118813
