mz,Intensity,s_n,res
229.00232,1089829,4.2,1740259
229.01335,1125020,4.4,1095687
229.01401,1613048,7.2,1742911
229.01423,1908584,8.9,1265239
229.0246,1374123,5.9,1729027
229.02962,1759004,8.1,1498674
229.02984,1751804,8,1552489
229.03101,1126172,4.4,1107685
229.04187,1061079,4.1,1348025
229.04664,1546497,6.8,1463675
229.04861,1170609,4.7,1393070
229.0504,1665314,7.5,1516541
229.05064,1329522,5.6,1587865
229.06207,1147301,4.6,1335140
229.06633,1066894,4.1,1208144
229.07153,2109768,10.1,1652540
229.07175,3249736,16.6,1343411
229.0747,1064048,4.1,1153624
229.08698,1058064,4.1,919463
229.10792,2042578,9.7,1354198
229.10814,4090098,21.4,1215856
229.12433,1152342,4.6,1534524
229.14431,1779804,8.2,1737420
229.14452,2528924,12.5,1530573
229.15702,1074875,4.2,1002049
229.18091,1169566,4.7,1336154
229.24038,1065191,4.1,1453790
229.2991,1221907,5,944612
