,M/z,Intensity,Relative,Resolution,Frequency,S/N
9147,573.00992,0.0325,0.1732527,482353,563748.714957,5.05
9148,573.03107,0.0882,0.4701658,719728,563727.90869,15.82
9149,573.04635,0.1225,0.6531218,767718,563712.872433,22.45
9150,573.06741,0.0791,0.4220996,641129,563692.154684,14.07
9151,573.0827,0.0585,0.3118994,678504,563677.119636,10.08
9152,573.08852,0.0416,0.2216716,778792,563671.394405,6.8
9153,573.10381,0.0679,0.3621052,801426,563656.352227,11.9
9154,573.11912,0.0371,0.19769,716183,563641.294957,5.93
9155,573.12491,0.032,0.1709076,562745,563635.604357,4.96
9156,573.14027,0.039,0.2079785,727724,563620.501207,6.31
9157,573.16137,0.0462,0.2464004,802359,563599.748843,7.7
9158,573.17654,0.0323,0.1725138,481571,563584.830341,5.02
9159,573.19777,0.0338,0.180438,726583,563563.962806,5.31
9160,573.23408,0.041,0.218533,755819,563528.264473,6.69
9161,574.02639,0.0502,0.2675543,550426,562750.432111,8.47
9162,574.04156,0.1115,0.5947933,816704,562735.55872,20.33
9163,574.04975,0.0385,0.2053787,847724,562727.531414,6.21
9164,574.06272,0.0633,0.3373717,764882,562714.819483,11.0
9165,574.07793,0.0675,0.3602398,658425,562699.905882,11.83
9166,574.08619,0.0391,0.2087371,873498,562691.81369,6.33
9167,574.09899,0.0351,0.1874544,695571,562679.263013,5.56
9168,574.11431,0.038,0.2024695,900007,562664.253722,6.11
9169,575.01045,0.0426,0.2269468,803147,561787.336071,7.0
9170,575.02566,0.1134,0.605036,732660,561772.475733,20.71
9171,575.03683,0.0344,0.1832711,896645,561761.57176,5.41
9172,575.04672,0.069,0.3677554,717453,561751.903583,12.1
9173,575.06199,0.111,0.5918496,777255,561736.992636,20.23
9174,575.07322,0.0446,0.237741,884184,561726.014731,7.39
9175,575.08318,0.0553,0.2949802,697080,561716.287251,9.46
9176,575.09834,0.0451,0.240312,895984,561701.487664,7.48
9177,575.10424,0.042,0.2238414,775939,561695.720341,6.88
9178,575.11955,0.0391,0.2084086,742920,561680.771927,6.32
9179,575.14073,0.044,0.2344304,707902,561660.08076,7.27
9180,575.15586,0.038,0.2025075,787044,561645.306532,6.11
9181,575.17697,0.0389,0.2074878,772709,561624.697922,6.29
9182,575.21337,0.043,0.2295102,844667,561589.155545,7.09
9183,575.24974,0.0473,0.2521152,690551,561553.650834,7.91
9184,576.02085,0.0592,0.3157595,651897,560801.89058,10.22
9185,576.02907,0.0417,0.2222542,797289,560793.887615,6.82
9186,576.05014,0.0326,0.1739689,797402,560773.381786,5.07
