,M/z,Intensity,Relative,Resolution,Frequency,S/N
13836,559.12243,0.0594,0.5382992,823876,577751.217744,16.6
13837,559.12461,0.0246,0.2230923,855858,577748.962308,6.19
13838,559.13045,0.094,0.8509061,760189,577742.927956,26.93
13839,559.13518,0.0226,0.2042295,774484,577738.041911,5.57
13840,559.1457,0.2564,2.3220344,790967,577727.167026,75.54
13841,559.14897,0.0184,0.1662233,826117,577723.794907,4.31
13842,559.15685,0.0196,0.1778431,240806,577715.647973,4.69
13843,559.15881,0.0584,0.5290351,670569,577713.62788,16.3
13844,559.16682,0.0458,0.4144808,790115,577705.347901,12.51
13845,559.1765,0.0265,0.2402552,778538,577695.352294,6.76
13846,559.1821,0.1675,1.5169678,790534,577689.562803,48.94
13847,559.19519,0.0482,0.4365621,782951,577676.04528,13.24
13848,559.2129,0.0205,0.1858532,936274,577657.74496,4.96
13849,559.21848,0.1267,1.1472477,778659,577651.978206,36.72
13850,559.23158,0.0307,0.2778115,760808,577638.452644,8.0
13851,559.25488,0.0839,0.759541,738312,577614.389228,23.91
13852,559.29119,0.0195,0.1769857,823991,577576.880545,4.67
13853,559.52781,0.0247,0.2236226,664966,577332.629856,6.21
13854,559.54577,0.0323,0.2923439,714120,577314.096337,8.48
13855,559.55642,0.0406,0.3679936,823757,577303.103866,10.98
13856,559.55988,0.0217,0.1967206,535778,577299.535034,5.32
13857,559.56407,0.0418,0.3787993,742505,577295.217931,11.33
13858,559.57457,0.0486,0.4402107,751739,577284.38462,13.36
13859,559.57824,0.0216,0.1959525,756694,577280.594416,5.29
13860,559.58215,0.0298,0.2695816,701832,577276.560323,7.73
13861,559.59288,0.0439,0.3974631,776383,577265.497769,11.95
13862,559.59652,0.021,0.1899325,805407,577261.73693,5.09
13863,559.611,0.0286,0.2589822,884871,577246.798632,7.37
13864,560.03186,0.0204,0.1844583,626653,576812.995024,4.91
13865,560.03382,0.0428,0.3876365,809204,576810.980979,11.63
13866,560.03991,0.0872,0.7895411,850245,576804.704618,24.91
13867,560.04435,0.0355,0.3212092,667068,576800.138846,9.43
13868,560.04704,0.0228,0.2066783,698242,576797.369799,5.65
13869,560.05201,0.0765,0.6925736,747984,576792.246236,21.7
13870,560.05518,0.0225,0.2037736,512474,576788.986712,5.55
13871,560.06257,0.0677,0.6133829,698214,576781.374026,19.08
13872,560.06818,0.0626,0.5670229,797328,576775.590036,17.55
13873,560.07016,0.08,0.7243052,710955,576773.550887,22.75
13874,560.0763,0.1685,1.5258065,792503,576767.230475,49.23
13875,560.08073,0.0772,0.6992713,738881,576762.673104,21.92
13876,560.08327,0.0209,0.1891798,719674,576760.05891,5.07
13877,560.08838,0.044,0.3987133,666329,576754.790277,11.99
13878,560.08919,0.0227,0.2057132,296847,576753.959519,5.61
13879,560.09155,0.0233,0.2114282,627771,576751.526921,5.8
13880,560.09744,0.0251,0.2269291,660388,576745.457077,6.32
13881,560.09897,0.0619,0.5606312,748960,576743.888888,17.34
13882,560.10458,0.0762,0.6897053,743792,576738.105286,21.61
13883,560.11269,0.124,1.1226715,748414,576729.756656,35.91
13884,560.11716,0.0267,0.2414282,704566,576725.157454,6.79
13885,560.12553,0.0203,0.1834053,341990,576716.538096,4.88
13886,560.14095,0.0478,0.4332987,778721,576700.659078,13.13
13887,560.14907,0.0754,0.682882,817324,576692.304856,21.38
13888,560.16213,0.0224,0.2032862,536506,576678.854731,5.53
13889,560.18551,0.0512,0.4641233,802351,576654.792144,14.15
13890,560.22188,0.0391,0.3540811,707377,576617.345299,10.52
13891,560.25818,0.0322,0.2915192,658716,576579.985645,8.45
13892,560.5356,0.0227,0.2055562,624075,576294.630045,5.61
13893,560.55371,0.0477,0.4320154,717562,576276.006264,13.09
13894,560.56419,0.0366,0.3316935,761846,576265.227532,9.78
13895,560.56785,0.0204,0.184363,616351,576261.473595,4.91
13896,560.57191,0.0425,0.3851344,635622,576257.299092,11.54
13897,560.58252,0.0395,0.3575635,745043,576246.385234,10.63
13898,560.59009,0.0347,0.3139071,863484,576238.608536,9.19
13899,560.6006,0.0336,0.3045092,632776,576227.801919,8.88
13900,560.60826,0.0197,0.1785663,512759,576219.926465,4.72
13901,560.9948,0.03,0.2718069,615689,575822.892193,7.8
13902,560.99813,0.019,0.1720101,722924,575819.476809,4.5
13903,561.00549,0.0211,0.1906598,676053,575811.92529,5.12
13904,561.00787,0.0197,0.1780822,763924,575809.482114,4.7
13905,561.01583,0.0924,0.8371903,830976,575801.309688,26.48
13906,561.02351,0.0258,0.2338443,590127,575793.427435,6.54
13907,561.0311,0.1554,1.4075273,759593,575785.641962,45.32
13908,561.03454,0.025,0.2268303,620070,575782.102572,6.31
13909,561.04169,0.0846,0.7658177,716165,575774.769733,24.12
13910,561.04317,0.0209,0.1890498,794414,575773.245944,5.06
13911,561.04409,0.0255,0.230629,727224,575772.306232,6.44
13912,561.05221,0.4662,4.2224374,777523,575763.974415,138.33
13913,561.05552,0.0196,0.1773839,841599,575760.579311,4.68
13914,561.05987,0.0881,0.7979209,692826,575756.115182,25.18
13915,561.06543,0.0237,0.2146228,682501,575750.401978,5.91
13916,561.06747,0.1446,1.3097732,782902,575748.315897,42.09
