,M/z,Intensity,Relative,Resolution,Frequency,S/N
9934,385.14048,0.0155,0.179067,1285071,838745.456167,2.81
9935,385.14151,0.0203,0.2353735,985210,838743.200224,3.98
9936,385.14234,0.1123,1.2991235,1107129,838741.39186,26.05
9937,385.14491,0.0232,0.2678184,1370593,838735.810863,4.65
9938,385.15041,0.5755,6.6566267,1182977,838723.8272,137.21
9939,385.1601,0.0188,0.2175329,1380722,838702.716987,3.61
9940,385.16165,0.0152,0.175975,1060054,838699.352076,2.75
9941,385.16348,0.0426,0.4929027,1261471,838695.357947,9.32
9942,385.16567,0.072,0.8324699,1102239,838690.607368,16.37
9943,385.16906,0.0156,0.1809404,981654,838683.207184,2.85
9944,385.17288,0.0249,0.2884858,1223479,838674.899862,5.08
9945,385.17873,0.0628,0.7268594,1289763,838662.153662,14.18
9946,385.18126,0.0164,0.1894325,1215714,838656.655248,3.03
9947,385.1868,0.2279,2.6356823,1205385,838644.595805,53.78
9948,385.19987,0.0282,0.3264608,1124489,838616.140112,5.87
9949,385.20205,0.0294,0.3396401,1190511,838611.391496,6.14
9950,385.20544,0.0268,0.3100207,1037055,838603.997567,5.53
9951,385.20928,0.0293,0.3386823,1284969,838595.653579,6.12
9952,385.22318,0.0783,0.9058415,1247187,838565.39788,17.89
9953,385.24565,0.0188,0.2172865,1294534,838516.473877,3.61
9954,385.25955,0.0248,0.2872083,1243147,838486.228329,5.06
9955,385.38075,0.0153,0.1771029,1143631,838222.518494,2.77
9956,385.49954,0.0193,0.2229715,1000127,837964.220307,3.72
9957,385.50362,0.0341,0.3941156,1041428,837955.36263,7.27
9958,385.51416,0.0362,0.4183308,1119975,837932.45291,7.78
9959,385.51775,0.0384,0.4436055,1274023,837924.6488,8.3
9960,385.52178,0.0488,0.564799,981137,837915.887983,10.82
9961,385.52832,0.0531,0.6144919,1042931,837901.673384,11.85
9962,385.53236,0.0881,1.0190878,1152497,837892.879891,20.24
9963,385.53596,0.0423,0.4895178,1090018,837885.058581,9.25
9964,385.54001,0.0398,0.4601207,993222,837876.258209,8.64
9965,385.54291,0.0181,0.2096966,1219431,837869.953321,3.45
9966,385.5465,0.076,0.8793458,1058724,837862.152917,17.34
9967,385.55055,0.1111,1.2847015,1139696,837853.349332,25.75
9968,385.55413,0.0333,0.3848128,1175776,837845.577157,7.08
9969,385.55819,0.0272,0.314294,892081,837836.762951,5.62
9970,385.56115,0.0152,0.1758299,627311,837830.330705,2.75
9971,385.56469,0.0593,0.6856042,1057328,837822.624205,13.32
9972,385.56876,0.0793,0.9168573,1133603,837813.794305,18.12
9973,385.57028,0.0172,0.1984601,990040,837810.481763,3.21
9974,385.57235,0.0157,0.1814093,1096255,837805.99371,2.86
9975,385.57639,0.0174,0.201722,926471,837797.200078,3.28
9976,385.57934,0.0166,0.1924722,783848,837790.788964,3.09
9977,385.58289,0.0318,0.3683028,1019395,837783.084439,6.74
9978,385.58698,0.0366,0.4229922,885447,837774.195234,7.87
9979,385.6011,0.0175,0.2024584,1168333,837743.521863,3.3
9980,385.60517,0.0213,0.246171,980267,837734.668881,4.2
9981,385.62332,0.0147,0.1703735,1117706,837695.25717,2.63
9982,385.68695,0.0171,0.1977528,943247,837557.047492,3.2
9983,385.69905,0.0218,0.2517745,1181402,837530.769655,4.32
9984,385.70619,0.0156,0.1805403,1156357,837515.263743,2.84
9985,385.72332,0.0163,0.1889809,1233630,837478.0668,3.02
9986,385.77362,0.0841,0.9724186,1286089,837368.874742,19.27
9987,385.77622,0.0171,0.1975236,1340529,837363.233839,3.2
9988,385.86335,0.0214,0.2473728,1057269,837174.135249,4.23
9989,385.88199,0.015,0.1739974,1306538,837133.705496,2.71
9990,385.90152,0.0174,0.2008606,1211864,837091.340466,3.26
9991,385.91833,0.0165,0.1904602,1127087,837054.873767,3.05
9992,385.98883,0.0154,0.1778966,1270496,836901.991524,2.79
9993,385.99155,0.0432,0.4995242,1193853,836896.088077,9.46
9994,386.00221,0.0197,0.2283787,1005841,836872.981629,3.84
9995,386.00679,0.0169,0.195552,1186159,836863.044946,3.15
9996,386.00975,0.1154,1.334771,1019862,836856.636889,26.79
9997,386.01537,0.1177,1.3612702,1148645,836844.442281,27.34
9998,386.01949,0.0153,0.1772395,721952,836835.512155,2.77
9999,386.02032,0.1488,1.7208568,1028766,836833.710047,34.8
10000,386.02348,0.1521,1.7597136,1154904,836826.856345,35.61
10001,386.02663,0.0167,0.1933206,1465209,836820.032521,3.11
10002,386.02795,0.1728,1.999154,1103835,836817.182048,40.58
10003,386.02997,0.0181,0.2090068,563079,836812.786872,3.43
10004,386.03357,0.0263,0.3043988,501809,836804.984178,5.41
10005,386.03399,0.0278,0.3219772,960416,836804.073492,5.78
10006,386.03653,0.0304,0.3511553,884667,836798.566963,6.38
10007,386.03768,0.0188,0.2174762,1423783,836796.086586,3.61
10008,386.03852,0.3072,3.553148,1127007,836794.273518,72.82
10009,386.0432,0.0542,0.6264481,1302540,836784.12414,12.09
