,m/z,I,S/N,Res.,I %
8180,507.26002,3156315,5.7,383384,1.1
8181,507.29644,4057445,7.9,365246,1.4
8182,507.32463,2484588,4.1,343754,0.8
8183,507.33303,3473775,6.5,378602,1.2
8184,507.44183,4232588,8.4,383353,1.4
8185,507.59054,2742708,4.7,376226,0.9
8186,508.01614,2976294,5.3,439175,1.0
8187,508.03086,3794474,7.3,406485,1.3
8188,508.03916,7561772,16.5,375877,2.6
8189,508.05225,3033647,5.4,345736,1.0
8190,508.05874,3912241,7.6,357087,1.3
8191,508.06727,2688563,4.6,496872,0.9
8192,508.07583,3202614,5.8,384828,1.1
8193,508.11212,2491455,4.1,401193,0.8
8194,508.1794,2524241,4.2,357324,0.9
8195,508.99987,2923309,5.2,453841,1.0
8196,509.015,4617009,9.3,411308,1.6
8197,509.03618,4286263,8.5,333221,1.5
8198,509.05135,7527227,16.4,385503,2.6
8199,509.0666,4804415,9.7,344034,1.6
8200,509.07251,3873600,7.5,335978,1.3
8201,509.07827,18281282,42.6,352644,6.2
8202,509.08762,2952516,5.2,379529,1.0
8203,509.10893,7279434,15.8,367004,2.5
8204,509.14553,7842644,17.2,384562,2.7
8205,509.21804,3671911,7.0,345644,1.3
8206,509.2295,2487402,4.1,261771,0.8
8207,509.2546,2844529,5.0,413531,1.0
8208,509.3035,3107710,5.6,340735,1.1
8209,509.31206,3091328,5.6,427602,1.1
8210,509.34836,3684234,7.0,446998,1.3
8211,509.38479,3324819,6.1,350093,1.1
8212,509.42146,5677981,11.9,279428,1.9
8213,509.42715,2500511,4.1,433223,0.9
8214,509.45769,10961831,24.8,378127,3.7
8215,509.82622,2566153,4.3,398492,0.9
8216,510.0548,2588230,4.3,418908,0.9
8217,510.06784,2584137,4.3,414395,0.9
8218,510.08166,3236941,5.9,402019,1.1
8219,510.13223,2766426,4.8,415495,0.9
8220,510.14865,2900575,5.1,350683,1.0
8221,510.30731,2501257,4.1,445381,0.9
8222,510.46097,2722994,4.7,253396,0.9
8223,510.99429,2560320,4.3,469116,0.9
8224,511.03046,6487369,13.8,386206,2.2
8225,511.0458,5102925,10.5,364989,1.7
8226,511.05186,3050319,5.5,370530,1.0
8227,511.06708,4516179,9.0,278489,1.5
8228,511.08827,2647385,4.5,344941,0.9
8229,511.1036,3678557,7.0,387105,1.3
8230,511.12471,8910178,19.8,386509,3.0
8231,511.13992,4793702,9.7,354021,1.6
8232,511.16125,5401964,11.2,353901,1.8
8233,511.19796,2649974,4.5,302398,0.9
8234,511.27011,4166025,8.2,368118,1.4
8235,511.30625,2742674,4.7,456061,0.9
8236,511.32784,2769304,4.8,485176,0.9
8237,511.34284,4293020,8.5,400254,1.5
8238,511.36436,3554210,6.7,324250,1.2
8239,511.40065,4864428,9.9,357059,1.7
8240,511.43681,6512053,13.9,347908,2.2
8241,512.02554,2699857,4.6,460662,0.9
8242,512.05347,2850392,5.0,382887,1.0
8243,512.44017,3033791,5.4,480649,1.0
8244,513.00978,4921173,10.0,377940,1.7
8245,513.04637,4586335,9.2,347855,1.6
8246,513.06159,5712739,12.0,291522,1.9
8247,513.08284,5209961,10.7,396495,1.8
8248,513.11916,4669298,9.4,369620,1.6
8249,513.14046,6350712,13.5,374397,2.2
8250,513.15556,3859324,7.4,348162,1.3
8251,513.17662,3071873,5.5,395259,1.0
8252,513.28567,4449182,8.9,395186,1.5
8253,513.32226,4281256,8.5,378633,1.5
8254,513.35875,3615153,6.8,309426,1.2
8255,513.41642,4272065,8.4,370542,1.5
8256,513.43125,5967813,12.6,377398,2.0
8257,513.6632,2610690,4.4,327327,0.9
8258,514.04164,3185765,5.8,276797,1.1
8259,514.05688,2536553,4.2,349437,0.9
8260,514.06943,2482285,4.1,460799,0.8
8261,514.389,2600641,4.3,285801,0.9
8262,514.5778,2467059,4.0,341649,0.8
8263,514.76668,2717988,4.6,387844,0.9
8264,514.98679,2843998,4.9,476432,1.0
8265,515.0257,5206377,10.7,296747,1.8
8266,515.04088,4487533,8.9,377854,1.5
8267,515.06202,3667826,6.9,291492,1.3
8268,515.0775,2904438,5.1,395599,1.0
8269,515.0834,2846072,4.9,410513,1.0
8270,515.0984,4214140,8.3,373747,1.4
8271,515.11966,4256129,8.4,376659,1.5
8272,515.13483,4887941,9.9,368395,1.7
8273,515.19246,2838932,4.9,454111,1.0
8274,515.23261,2886047,5.0,359328,1.0
8275,515.26474,2879911,5.0,370410,1.0
8276,515.30137,8952241,19.7,376942,3.1
8277,515.33787,5358011,11.0,383862,1.8
8278,515.37461,3054020,5.4,432741,1.0
8279,515.40527,2532812,4.2,373346,0.9
8280,515.74407,2557477,4.2,344797,0.9
8281,516.04866,2577526,4.3,334255,0.9
8282,516.08523,11037311,24.8,352683,3.8
8283,516.11676,2918023,5.1,447654,1.0
8284,516.15345,2653841,4.5,495396,0.9
8285,516.30487,3124921,5.6,393196,1.1
8286,516.58651,3750659,7.1,403837,1.3
8287,517.00493,4624241,9.2,316340,1.6
8288,517.01992,4076405,7.9,371758,1.4
8289,517.04119,4516730,9.0,344734,1.5
8290,517.05648,5729150,11.9,324990,2.0
8291,517.06363,2556288,4.2,299598,0.9
8292,517.0719,2936706,5.2,402009,1.0
8293,517.07758,3586948,6.7,267918,1.2
8294,517.11412,7285645,15.7,345154,2.5
8295,517.14127,5075861,10.3,334914,1.7
8296,517.15055,7320471,15.8,354863,2.5
8297,517.20561,2555301,4.2,368857,0.9
8298,517.24415,2500527,4.1,522761,0.9
8299,517.28071,3681209,7.0,335061,1.3
8300,517.31696,14248898,32.5,350537,4.9
8301,517.35355,4265932,8.4,300001,1.5
8302,518.02758,3631229,6.8,417502,1.2
8303,518.03641,2986111,5.3,256844,1.0
8304,518.05165,2804355,4.8,314920,1.0
8305,518.06451,2808454,4.8,219002,1.0
8306,518.08359,3278987,6.0,393882,1.1
8307,518.16901,3208354,5.8,347150,1.1
8308,518.19046,2512039,4.1,565450,0.9
8309,518.32045,3334346,6.1,383562,1.1
8310,518.51802,2533629,4.2,479384,0.9
8311,518.5392,2502403,4.1,429605,0.9
8312,519.02053,6739329,14.4,339417,2.3
8313,519.0356,14294405,32.6,346872,4.9
8314,519.0506,3429769,6.3,348905,1.2
8315,519.05667,4681099,9.4,322866,1.6
8316,519.07207,3571087,6.7,366317,1.2
8317,519.09337,3778964,7.2,355715,1.3
8318,519.12982,6997406,15.0,342481,2.4
8319,519.1568,2945445,5.2,479919,1.0
8320,519.16615,4350375,8.6,392123,1.5
8321,519.20258,2655665,4.5,490775,0.9
8322,519.25984,2814912,4.9,393410,1.0
8323,519.29632,3652041,6.9,400555,1.2
8324,519.33257,7265747,15.6,368181,2.5
8325,519.36901,3806684,7.3,366824,1.3
8326,519.37262,3204573,5.8,358673,1.1
8327,519.75317,2648641,4.5,393453,0.9
8328,520.01594,3184262,5.8,337351,1.1
8329,520.02405,2830472,4.9,353946,1.0
