,m/z,I,S/N,Res.,I %
650,218.93761,2029737,4.1,900695,1.2
651,218.94996,4009514,10.1,863383,2.4
652,218.95272,1987434,4.0,559729,1.2
653,218.98046,2430251,5.3,1029985,1.5
654,218.99355,3194155,7.6,811434,1.9
655,218.99636,2294444,4.9,780538,1.4
656,219.00872,2183468,4.6,859979,1.3
657,219.02106,2601389,5.9,720455,1.6
658,219.02995,13360429,38.3,818869,8.1
659,219.04116,2080942,4.3,877312,1.3
660,219.05111,3721262,9.2,849201,2.3
661,219.06633,8885039,24.8,813534,5.4
662,219.07918,2784047,6.4,1183997,1.7
663,219.07949,3880239,9.7,909399,2.4
664,219.08133,2150639,4.5,634646,1.3
665,219.08745,2977328,7.0,1093642,1.8
666,219.08824,2161904,4.5,761011,1.3
667,219.10274,4116272,10.4,973244,2.5
668,219.1036,2095664,4.3,871982,1.3
669,219.11755,2368945,5.2,707529,1.4
670,219.13905,2222386,4.7,1004879,1.3
671,219.14014,2126386,4.4,600280,1.3
672,219.17873,1994740,4.0,659921,1.2
673,219.23562,2134966,4.5,1237492,1.3
674,219.26661,2243320,4.8,558863,1.4
675,219.2952,2316345,5.0,796970,1.4
676,219.29811,2109561,4.4,627112,1.3
677,219.32275,2072378,4.3,997730,1.3
678,219.37224,2150461,4.5,897306,1.3
679,219.48668,2004418,4.1,667417,1.2
680,219.5102,2027331,4.1,1115830,1.2
681,219.56244,2053446,4.2,1117515,1.2
682,219.5727,2063558,4.2,1072818,1.3
683,219.62863,2097481,4.3,1036241,1.3
684,219.63245,2036937,4.2,934116,1.2
685,219.65355,2061258,4.2,1105467,1.3
686,219.67852,2001803,4.1,564705,1.2
687,219.77871,2273360,4.9,894044,1.4
688,219.82846,2346707,5.1,869829,1.4
689,219.85913,2236628,4.8,730246,1.4
690,219.90621,2062551,4.2,860889,1.3
691,219.90836,1991127,4.0,911118,1.2
692,219.98802,2139611,4.5,931378,1.3
693,220.00142,2452059,5.4,920972,1.5
694,220.02522,4098653,10.4,905282,2.5
695,220.03778,2412893,5.3,984044,1.5
696,220.06158,3887967,9.7,915610,2.4
697,220.06712,2111967,4.4,1078714,1.3
698,220.0697,2303071,5.0,860558,1.4
699,220.08273,4369760,11.2,980639,2.7
700,220.08861,2119392,4.4,799024,1.3
701,220.10537,2103393,4.4,694345,1.3
702,220.12666,2172770,4.6,850853,1.3
703,220.17903,2144229,4.5,797577,1.3
704,220.21873,1996519,4.0,867274,1.2
705,220.25093,1991592,4.0,754128,1.2
706,220.28481,2033386,4.2,853444,1.2
707,220.28568,2045162,4.2,837379,1.2
708,220.29462,1985899,4.0,905514,1.2
709,220.36345,2154862,4.5,1076225,1.3
710,220.43627,2008946,4.1,1010950,1.2
711,220.46105,2017651,4.1,976736,1.2
712,220.49855,2075253,4.3,673203,1.3
713,220.54889,2338424,5.1,743211,1.4
714,220.55186,2025912,4.1,660036,1.2
715,220.55585,2325625,5.0,877656,1.4
716,220.56985,2412153,5.3,827741,1.5
717,220.66287,1989566,4.0,746622,1.2
718,220.7352,2013122,4.1,844638,1.2
719,220.78285,2016517,4.1,1026461,1.2
720,220.8284,2231944,4.8,937129,1.4
721,220.86371,2144010,4.5,748823,1.3
722,220.96147,2204239,4.7,708843,1.3
723,220.96567,3935119,9.9,876581,2.4
724,220.99963,2029585,4.1,813836,1.2
725,221.0068,2545042,5.7,980348,1.5
726,221.00922,14849426,42.8,787988,9.0
727,221.00999,2022802,4.1,1011673,1.2
728,221.04561,15492500,44.7,774708,9.4
729,221.04614,2085780,4.3,1310949,1.3
730,221.05684,2543125,5.7,923361,1.5
731,221.06676,7469973,20.5,607609,4.5
732,221.06728,2106901,4.4,1005146,1.3
733,221.082,38579604,114.2,700293,23.4
734,221.09324,2337559,5.1,1030788,1.4
735,221.09511,4863383,12.7,803296,3.0
736,221.11836,3987864,10.0,587871,2.4
737,221.13235,2101785,4.4,906708,1.3
738,221.15477,2060442,4.2,973450,1.3
739,221.25052,2361632,5.1,1003592,1.4
740,221.29262,2018978,4.1,955255,1.2
741,221.34828,2162342,4.5,961538,1.3
742,221.41798,2031658,4.1,805996,1.2
743,221.44426,2165035,4.5,927043,1.3
744,221.45563,2073772,4.3,911149,1.3
745,221.45949,2265900,4.9,860522,1.4
746,221.49843,2111279,4.4,1092472,1.3
747,221.5004,2075375,4.3,587815,1.3
748,221.51974,2158384,4.5,880790,1.3
749,221.63328,2068279,4.3,1007184,1.3
750,221.65059,2058168,4.2,1003721,1.2
751,221.75128,2056894,4.2,1261516,1.2
752,221.82462,2250819,4.8,807225,1.4
753,221.85244,2075908,4.3,717751,1.3
754,221.8938,2092487,4.3,902742,1.3
755,221.90826,2199624,4.7,820417,1.3
756,221.94929,2207306,4.7,710315,1.3
757,222.00441,2429262,5.3,647458,1.5
758,222.0103,2070094,4.3,869689,1.3
759,222.01257,2121422,4.4,1217301,1.3
760,222.03346,2198352,4.6,959954,1.3
761,222.03503,2072400,4.3,1017755,1.3
762,222.04087,4665808,12.1,599297,2.8
763,222.04899,2458577,5.4,1043560,1.5
764,222.0535,2359121,5.1,848379,1.4
765,222.07723,3037394,7.2,789539,1.8
