,m/z,I,S/N,Res.,I %
5374,402.02276,2881010,5.7,571536,0.9
5375,402.04094,2389501,4.4,493861,0.7
5376,402.05505,2382853,4.4,466992,0.7
5377,402.05929,3239431,6.7,562197,1.0
5378,402.07313,2267664,4.1,506099,0.7
5379,402.09124,2341402,4.3,537642,0.7
5380,402.09448,2487836,4.7,542271,0.8
5381,402.11399,2674215,5.2,413981,0.8
5382,402.42721,2341598,4.3,460517,0.7
5383,402.60693,2455879,4.6,407879,0.8
5384,402.88934,2777579,5.4,376536,0.9
5385,403.0188,2260535,4.1,578374,0.7
5386,403.03075,9692222,23.9,453974,3.0
5387,403.04895,3032136,6.1,558209,0.9
5388,403.06712,11865171,29.8,431555,3.7
5389,403.10343,8873064,21.7,474402,2.8
5390,403.111,2415724,4.5,448961,0.7
5391,403.13983,8416381,20.5,468665,2.6
5392,403.1763,9637010,23.8,480335,3.0
5393,403.19733,4829343,10.9,526689,1.5
5394,403.21256,3558567,7.5,585933,1.1
5395,403.51126,2575701,4.9,427111,0.8
5396,403.64682,2244003,4.0,514239,0.7
5397,403.76614,2458856,4.6,415997,0.8
5398,403.99439,2371948,4.4,406806,0.7
5399,404.04622,2753162,5.4,643385,0.9
5400,404.05663,3229328,6.7,470174,1.0
5401,404.07489,2810011,5.5,454203,0.9
5402,404.10667,2713773,5.3,365098,0.8
5403,404.1113,2653872,5.1,431723,0.8
5404,404.49623,2244494,4.0,597680,0.7
5405,404.50776,2254485,4.0,432248,0.7
5406,404.5477,2329004,4.2,430493,0.7
5407,404.78246,2435891,4.5,433969,0.8
5408,404.89921,3199094,6.6,500240,1.0
5409,405.01003,3808438,8.2,522935,1.2
5410,405.03568,2409669,4.5,581694,0.7
5411,405.04372,2630857,5.0,434497,0.8
5412,405.04631,10096843,25.0,481329,3.1
5413,405.08273,9259232,22.8,482190,2.9
5414,405.11914,9212149,22.7,501908,2.9
5415,405.12025,2417909,4.5,704470,0.8
5416,405.15545,12228873,30.7,473191,3.8
5417,405.19185,9279774,22.8,477317,2.9
5418,405.22827,2403123,4.4,583360,0.7
5419,405.39595,2242452,4.0,523634,0.7
5420,405.69202,2337341,4.3,653270,0.7
5421,406.02545,2829564,5.6,539367,0.9
5422,406.06183,2757393,5.4,495839,0.9
5423,406.08627,3099423,6.3,533976,1.0
5424,406.12258,2395956,4.4,529860,0.7
5425,406.15098,2348356,4.3,451877,0.7
5426,406.15892,2978120,6.0,475685,0.9
5427,406.26755,2439558,4.5,543249,0.8
5428,406.64744,2405471,4.4,488027,0.7
5429,406.83172,2336456,4.2,583951,0.7
5430,406.91479,2910967,5.8,525701,0.9
5431,406.9172,3368185,7.0,497964,1.0
5432,406.9368,2734340,5.3,385327,0.8
5433,407.02567,4058422,8.8,548149,1.3
5434,407.04094,4395327,9.7,447312,1.4
5435,407.0514,2961733,5.9,566198,0.9
5436,407.06201,9420107,23.0,491027,2.9
5437,407.0773,3969363,8.6,481477,1.2
5438,407.09847,8746335,21.2,471785,2.7
5439,407.1312,2368882,4.3,451512,0.7
5440,407.13466,11455860,28.4,485118,3.6
5441,407.17115,10302857,25.4,467364,3.2
5442,407.18732,4461970,9.9,513719,1.4
5443,407.20764,3995037,8.6,514787,1.2
5444,407.58978,2449526,4.5,622657,0.8
5445,407.913,2264877,4.0,351379,0.7
5446,407.94106,2456893,4.5,428518,0.8
5447,408.04103,3336053,6.9,491317,1.0
5448,408.04884,2470778,4.6,443747,0.8
5449,408.05925,2461568,4.6,524871,0.8
5450,408.13817,2948012,5.8,541633,0.9
5451,408.35345,2330661,4.2,474378,0.7
5452,408.55004,2261652,4.0,423191,0.7
5453,408.55633,2867352,5.6,488059,0.9
5454,408.57896,2531493,4.7,517296,0.8
5455,408.75505,2398471,4.4,355167,0.7
5456,408.93287,2966891,5.9,571407,0.9
5457,408.93675,2305902,4.1,583584,0.7
5458,409.02009,5091741,11.5,447840,1.6
5459,409.03066,2396066,4.4,538319,0.7
5460,409.04122,5064104,11.5,464431,1.6
5461,409.05653,4572593,10.2,415016,1.4
5462,409.06047,2271923,4.1,338003,0.7
5463,409.06695,2979255,5.9,521949,0.9
5464,409.07763,6449597,15.1,462645,2.0
5465,409.08508,2569665,4.8,386154,0.8
5466,409.09296,3454405,7.2,516371,1.1
5467,409.09639,6052295,14.1,516731,1.9
5468,409.11403,8194513,19.8,466390,2.5
5469,409.15035,9937381,24.4,463957,3.1
5470,409.16662,2504175,4.7,499484,0.8
5471,409.18683,5548538,12.7,523428,1.7
5472,409.22309,4068878,8.8,462048,1.3
5473,409.26291,2447396,4.5,500200,0.8
5474,409.36855,2413152,4.4,672415,0.7
5475,409.40511,2872948,5.6,602161,0.9
5476,409.82463,2538847,4.8,572398,0.8
5477,409.87022,2300792,4.1,426709,0.7
5478,409.94427,2272673,4.1,412951,0.7
5479,410.02029,2900428,5.7,537930,0.9
5480,410.03841,3055062,6.1,458247,0.9
5481,410.04499,2715610,5.2,399969,0.8
5482,410.05161,2526685,4.7,453173,0.8
5483,410.0567,2841056,5.6,521614,0.9
5484,410.07355,2366954,4.3,562633,0.7
5485,410.09646,2287350,4.1,464099,0.7
5486,410.10735,2260732,4.0,424357,0.7
5487,410.15364,3121174,6.3,546259,1.0
5488,410.46452,2478275,4.6,471144,0.8
5489,410.69268,2464066,4.6,368695,0.8
5490,410.76723,2385771,4.4,493946,0.7
5491,410.85732,2354845,4.3,417336,0.7
5492,410.94723,2361295,4.3,473689,0.7
5493,410.95089,2257105,4.0,440269,0.7
5494,410.99934,2937324,5.8,402601,0.9
5495,411.0202,2374903,4.3,266315,0.7
5496,411.03113,2394622,4.4,509648,0.7
5497,411.03566,8482304,20.5,468627,2.6
5498,411.04629,2550278,4.8,496105,0.8
5499,411.05121,2492681,4.6,351880,0.8
5500,411.05387,2892298,5.7,518353,0.9
5501,411.05686,4879884,11.0,456423,1.5
5502,411.06436,2654736,5.1,546081,0.8
5503,411.07212,7149076,17.0,440698,2.2
5504,411.09327,5699104,13.1,438316,1.8
5505,411.10854,3265064,6.7,634490,1.0
5506,411.12965,7282228,17.3,479676,2.3
5507,411.14491,3635773,7.7,502252,1.1
5508,411.16601,7329352,17.5,493883,2.3
5509,411.20249,2955868,5.9,445066,0.9
5510,411.2683,2566273,4.8,426319,0.8
5511,411.31155,3244697,6.6,614589,1.0
5512,411.348,16742061,42.5,456432,5.2
5513,411.38441,2410689,4.4,544815,0.7
5514,411.43296,2862812,5.6,465466,0.9
5515,411.51919,2299659,4.1,401307,0.7
5516,411.7996,2534566,4.7,342715,0.8
5517,411.95355,2836987,5.5,483768,0.9
5518,412.04357,2724908,5.2,583599,0.8
5519,412.05296,2294322,4.1,284428,0.7
5520,412.07226,2649148,5.0,481444,0.8
5521,412.07896,2550336,4.8,447820,0.8
5522,412.35129,5564630,12.8,529904,1.7
5523,412.36741,2431710,4.5,391151,0.8
5524,412.37455,2655970,5.1,528405,0.8
5525,412.38813,2869994,5.6,443360,0.9
5526,412.39841,2344687,4.2,605619,0.7
5527,412.55671,2443078,4.5,472907,0.8
