,m/z,I,S/N,Res.,I %
385,212.01166,2445230,5.4,1006715,5.2
386,212.02099,1971758,4.0,841330,4.2
387,212.03537,7720622,21.4,747021,16.4
388,212.04348,2977710,7.0,1083947,6.3
389,212.04796,2163374,4.6,1300218,4.6
390,212.07173,3058734,7.3,1006069,6.5
391,212.07564,1997294,4.1,957200,4.2
392,212.09017,2156206,4.6,939366,4.6
393,212.14109,2131951,4.5,746506,4.5
394,212.15524,2104111,4.4,1107329,4.5
395,212.1881,1990831,4.1,863340,4.2
396,212.19739,2064047,4.3,715381,4.4
397,212.22236,2269231,4.9,1122667,4.8
398,212.22873,2135343,4.5,877731,4.5
399,212.27622,2131055,4.5,810010,4.5
400,212.29477,1984943,4.0,482879,4.2
401,212.30583,1980336,4.0,1022234,4.2
402,212.31228,1992880,4.1,874247,4.2
403,212.34133,1988720,4.1,938367,4.2
404,212.41979,1997872,4.1,851520,4.2
405,212.42983,1979440,4.0,1041263,4.2
406,212.43971,2089777,4.4,955884,4.4
407,212.47177,2269105,4.9,1084402,4.8
408,212.51699,1991089,4.1,1063842,4.2
409,212.52201,2062193,4.3,810089,4.4
410,212.54377,2215217,4.7,724854,4.7
411,212.57474,2043058,4.2,1259961,4.3
412,212.57872,2255154,4.9,905048,4.8
413,212.60162,1983282,4.0,745885,4.2
414,212.6186,2037426,4.2,1077445,4.3
415,212.61954,2414898,5.3,1009507,5.1
416,212.62174,2018674,4.1,748663,4.3
417,212.63398,2014898,4.1,1033818,4.3
418,212.71161,2020531,4.1,1167581,4.3
419,212.71957,2238771,4.8,1156942,4.7
420,212.74696,2003379,4.1,1220141,4.2
421,212.82734,2128180,4.5,1162360,4.5
422,212.8543,2035508,4.2,1008073,4.3
423,212.92438,2047029,4.2,614964,4.3
424,212.94543,2066741,4.3,1036452,4.4
425,212.9975,2063158,4.3,946547,4.4
426,213.00964,2102326,4.4,1061108,4.5
427,213.01158,2068054,4.3,656835,4.4
