,m/z,I,S/N,Res.,I %
7449,495.04687,2536954,4.4,233024,1.4
7450,495.05098,8963707,20.4,376137,5.0
7451,495.06208,3328638,6.3,429622,1.8
7452,495.0661,3693183,7.2,373519,2.0
7453,495.07471,2812545,5.0,421130,1.6
7454,495.08749,3555972,6.9,355101,2.0
7455,495.44152,2585825,4.5,436881,1.4
7456,495.60486,2514188,4.3,335945,1.4
7457,496.00976,2646902,4.6,450124,1.5
7458,496.02247,4349817,8.9,373146,2.4
7459,496.03094,4750204,9.9,390602,2.6
7460,496.04232,2875262,5.2,369673,1.6
7461,496.04621,7528320,16.8,387139,4.2
7462,496.05464,2584450,4.5,541661,1.4
7463,496.05881,4593539,9.5,354382,2.5
7464,496.08257,2616201,4.5,494700,1.4
7465,496.08508,2579338,4.5,479272,1.4
7466,496.12818,2502549,4.3,404819,1.4
7467,496.17687,2469794,4.2,391064,1.4
7468,497.01519,5705851,12.3,402254,3.2
7469,497.01744,2487419,4.2,346045,1.4
7470,497.02607,2862206,5.2,368639,1.6
7471,497.03038,8691839,19.7,399621,4.8
7472,497.04166,4866178,10.2,383338,2.7
7473,497.04537,3030147,5.6,465104,1.7
7474,497.04976,2459780,4.2,472559,1.4
7475,497.05412,3544197,6.9,375617,2.0
7476,497.06674,5587080,12.0,398788,3.1
7477,497.07783,2437259,4.1,541442,1.4
7478,497.08162,2497676,4.3,494116,1.4
7479,497.67144,2645284,4.6,440516,1.5
7480,498.01028,2749819,4.9,516468,1.5
7481,498.01734,2595197,4.5,384051,1.4
7482,498.02545,5546367,11.8,384889,3.1
7483,498.0288,2795392,5.0,345903,1.5
7484,498.03807,4174210,8.4,441610,2.3
7485,498.0428,2466179,4.1,327010,1.4
7486,498.04886,3499909,6.7,357719,1.9
7487,498.05299,4448646,9.1,397327,2.5
7488,498.06178,6224264,13.5,396886,3.4
7489,498.07011,2427786,4.1,440957,1.3
7490,498.07451,2780555,4.9,403042,1.5
7491,498.07683,2569612,4.4,366706,1.4
7492,498.18366,2520487,4.3,349470,1.4
7493,498.22049,2495921,4.2,281126,1.4
7494,498.25682,2486714,4.2,310024,1.4
7495,498.99426,3605109,7.0,393525,2.0
7496,499.0058,3191928,6.0,381333,1.8
7497,499.00939,4497017,9.2,403025,2.5
7498,499.01731,2537595,4.3,275509,1.4
7499,499.02485,2608765,4.5,469648,1.4
7500,499.03085,2806399,5.0,415622,1.6
7501,499.03354,3141247,5.8,438028,1.7
7502,499.04603,9822850,22.4,341519,5.4
7503,499.05719,3422853,6.5,426090,1.9
7504,499.0612,5153415,10.8,384231,2.9
7505,499.08219,3486860,6.7,302745,1.9
7506,499.6016,2421007,4.0,442282,1.3
7507,500.01324,2445175,4.1,458362,1.4
7508,500.01746,2842488,5.1,448489,1.6
7509,500.02604,3896186,7.7,425640,2.2
7510,500.03686,4408701,9.0,296184,2.4
7511,500.04111,7476094,16.6,371813,4.1
7512,500.04936,2926464,5.3,504478,1.6
7513,500.0537,3112833,5.8,454884,1.7
7514,500.05628,4252546,8.6,364434,2.4
7515,500.0689,4142981,8.3,352818,2.3
7516,500.07741,2793863,5.0,395924,1.5
7517,500.41177,2483675,4.2,306595,1.4
7518,500.74826,2820143,5.0,368228,1.6
7519,501.00993,4939888,10.3,328291,2.7
7520,501.01274,3326577,6.3,300356,1.8
7521,501.0209,3389555,6.4,396587,1.9
7522,501.02518,7425140,16.5,403514,4.1
7523,501.03238,2832502,5.1,353257,1.6
7524,501.03626,3687543,7.2,418321,2.0
7525,501.0403,5670008,12.1,405346,3.1
7526,501.04601,2571385,4.4,328180,1.4
7527,501.05177,2625658,4.5,532988,1.5
7528,501.06162,5078141,10.6,377866,2.8
7529,501.07691,3686529,7.2,362703,2.0
7530,501.14627,2886802,5.2,464029,1.6
7531,501.37811,2442444,4.1,573119,1.4
7532,501.64892,2839823,5.1,401292,1.6
7533,502.00517,4882791,10.1,383052,2.7
7534,502.01639,4405610,9.0,362795,2.4
7535,502.02051,5023083,10.5,341624,2.8
7536,502.02691,2864492,5.1,415984,1.6
7537,502.03318,3796334,7.5,386845,2.1
7538,502.03573,5479791,11.6,355180,3.0
7539,502.04388,3783024,7.4,349268,2.1
7540,502.04838,4064626,8.1,327839,2.3
7541,502.05693,5719412,12.2,391844,3.2
7542,502.06815,2893686,5.2,307156,1.6
7543,502.07217,4397432,8.9,386634,2.4
7544,502.0845,2712954,4.8,487313,1.5
7545,502.48472,2660829,4.6,438678,1.5
7546,502.49311,2426847,4.0,329725,1.3
7547,502.52462,2553319,4.4,407352,1.4
7548,502.66443,2567177,4.4,324693,1.4
7549,502.85849,2521657,4.3,319424,1.4
7550,502.98909,2882137,5.2,448764,1.6
7551,503.00064,4360796,8.9,410070,2.4
7552,503.0047,3372637,6.4,444237,1.9
