,m/z,I,S/N,Res.,I %
332,210.01256,2200695,4.6,1016854,0.6
333,210.0181,2035319,4.1,1080648,0.6
334,210.02468,3130039,7.4,572340,0.9
335,210.04087,4395895,11.2,829896,1.2
336,210.04883,2405239,5.2,735761,0.7
337,210.05589,2226423,4.7,956918,0.6
338,210.05819,2182583,4.6,781630,0.6
339,210.07159,2274295,4.8,742586,0.6
340,210.07721,3372279,8.1,867891,0.9
341,210.08102,2100471,4.3,790308,0.6
342,210.08284,3305591,7.9,693914,0.9
343,210.08982,3577207,8.7,1034844,1.0
344,210.1135,1993334,4.0,769911,0.5
345,210.15946,2223990,4.7,1136672,0.6
346,210.18151,2241654,4.7,832744,0.6
347,210.24153,2029494,4.1,795381,0.6
348,210.26198,2023094,4.1,616850,0.6
349,210.28445,2283382,4.9,569915,0.6
350,210.36361,2061238,4.2,789823,0.6
351,210.39607,2183798,4.6,944688,0.6
352,210.41314,2045557,4.2,1081914,0.6
353,210.41819,2185141,4.6,718612,0.6
354,210.43207,2153461,4.5,1008585,0.6
355,210.44347,2453237,5.4,1002857,0.7
356,210.50143,2034645,4.1,694136,0.6
357,210.51483,2106485,4.3,677355,0.6
358,210.57843,2086261,4.3,972447,0.6
359,210.67014,2307573,4.9,860667,0.6
360,210.69276,1993333,4.0,646920,0.5
361,210.74783,2025141,4.1,920047,0.6
362,210.75544,2029909,4.1,552534,0.6
363,210.79466,2077173,4.3,933522,0.6
364,210.82943,2112501,4.4,1162602,0.6
365,210.8561,2175157,4.5,966291,0.6
366,210.87929,2006645,4.0,756734,0.5
367,210.88668,2109173,4.3,944719,0.6
368,210.89242,2393845,5.2,1088720,0.7
369,210.95502,2183669,4.6,1048845,0.6
370,210.9639,2259829,4.8,756104,0.6
371,210.9755,2076405,4.3,1285209,0.6
372,210.97746,2094581,4.3,982150,0.6
373,210.98059,2010037,4.1,685488,0.5
374,211.01202,2095541,4.3,873920,0.6
375,211.02485,49184372,145.1,633690,13.5
376,211.03088,2027637,4.1,960515,0.6
377,211.0361,2065525,4.2,1001733,0.6
378,211.04003,3211381,7.6,777011,0.9
379,211.04622,2250485,4.8,761160,0.6
380,211.05533,2008053,4.0,789059,0.5
381,211.06124,12315765,34.9,558608,3.4
382,211.06597,2182133,4.6,843207,0.6
383,211.07657,2016885,4.1,955960,0.6
384,211.07939,2774133,6.3,1197250,0.8
385,211.09763,16145525,46.3,651308,4.4
386,211.13404,9235573,25.7,623646,2.5
387,211.1704,2086645,4.3,1062325,0.6
388,211.21555,2030070,4.1,1036549,0.6
389,211.21895,2048886,4.2,1028320,0.6
390,211.22586,2112566,4.4,779056,0.6
391,211.44819,2013942,4.1,859724,0.6
392,211.46636,1994358,4.0,927639,0.5
393,211.49513,2075062,4.2,871603,0.6
394,211.49877,2021366,4.1,1054487,0.6
395,211.53438,2436599,5.3,833363,0.7
396,211.55858,2426231,5.3,927987,0.7
397,211.58431,2282231,4.9,950972,0.6
398,211.59796,2010935,4.1,759007,0.6
399,211.59858,2084215,4.3,818113,0.6
400,211.63457,2407671,5.2,916900,0.7
401,211.63809,2104119,4.3,819870,0.6
402,211.64498,2169271,4.5,930679,0.6
403,211.85641,2017336,4.1,532082,0.6
404,211.88599,2143353,4.5,959144,0.6
405,211.94001,2157817,4.5,999167,0.6
406,211.94864,2128121,4.4,868419,0.6
407,211.95357,2023161,4.1,807010,0.6
408,212.01707,2182650,4.6,931576,0.6
409,212.01953,2177914,4.6,1318099,0.6
410,212.02009,19681914,56.9,639783,5.4
411,212.02207,2197178,4.6,931290,0.6
412,212.02298,2032762,4.1,995877,0.6
413,212.0282,4011386,10.0,788457,1.1
414,212.04039,2114042,4.4,854832,0.6
415,212.0412,2238778,4.7,883487,0.6
416,212.05642,2430074,5.3,900283,0.7
417,212.10087,2128890,4.4,572578,0.6
418,212.10546,2136826,4.4,1218592,0.6
419,212.10702,2026938,4.1,778011,0.6
420,212.1139,2002554,4.0,1108745,0.5
421,212.13786,2054587,4.2,734421,0.6
422,212.20234,2097659,4.3,1068532,0.6
423,212.33128,2029948,4.1,698204,0.6
424,212.37141,1999869,4.0,998192,0.5
425,212.37484,1995389,4.0,766108,0.5
426,212.39093,2101501,4.3,841986,0.6
427,212.40298,2030333,4.1,745112,0.6
428,212.46535,2164094,4.5,919192,0.6
429,212.48756,2016254,4.1,1098111,0.6
430,212.55062,1999615,4.0,1137520,0.5
431,212.55393,2346879,5.1,840535,0.6
432,212.56984,2202111,4.6,1033757,0.6
433,212.60152,2135295,4.4,803707,0.6
