exp	town	abundance	mw	error	C	H	O	N	S	y
SRFA	1	0.044707571	318.058686	-0.034210668	12	14	10	0	0	9
SRFA	1	0.049224624	618.064396	-0.281894575	30	18	15	0	0	7
SRFA	1	0.041879062	810.055096	-0.112951576	35	22	23	0	0	2
SRFA	1	0.052185549	744.044856	0.313444812	31	20	22	0	0	3
SRFA	1	0.345546069	578.127106	-0.111610404	26	26	15	0	0	7
SRFA	1	0.023922359	794.081706	0.382473236	32	26	24	0	0	1
SRFA	1	0.087883905	736.221366	-0.134420168	34	40	18	0	0	5
SRFA	1	0.084435134	616.251916	-0.099185087	32	40	12	0	0	7
SRFA	1	0.3676405	396.178456	0.095616002	20	28	8	0	0	9
SRFA	1	0.367879444	460.100576	0.030986703	22	20	11	0	0	9
SRFA	1	0.097449662	454.090046	0.107844249	23	18	10	0	0	9
SRFA	1	0.080492545	522.043516	0.144047379	25	14	13	0	0	7
SRFA	1	0.509366637	536.153006	0.027382109	25	28	13	0	0	9
SRFA	1	0.182609596	556.158056	-0.037181876	28	28	12	0	0	8
SRFA	1	0.015086379	752.325726	0.252381373	37	52	16	0	0	3
SRFA	1	0.363188161	336.120936	0.097634501	17	20	7	0	0	9
SRFA	1	0.036361428	604.288376	0.022123543	32	44	11	0	0	5
SRFA	1	0.014961928	467.996576	0.18252484	21	8	13	0	0	6
SRFA	1	0.593284058	456.126816	0.08653076	20	24	12	0	0	9
SRFA	1	0.177472282	656.137776	0.062122624	31	28	16	0	0	7
SRFA	1	0.475245317	338.100206	0.113135098	16	18	8	0	0	9
SRFA	1	0.037789123	536.131856	-0.010987968	28	24	11	0	0	7
SRFA	1	0.053386744	282.037576	0.030304473	12	10	8	0	0	8
SRFA	1	0.224847075	654.085636	-0.097322119	30	22	17	0	0	7
SRFA	1	0.013277367	990.170886	-0.34272165	68	30	7	0	1	1
SRFA	1	0.013010545	398.103376	-0.411192192	18	22	8	0	1	6
SRFA	1	0.014122634	625.033836	-0.259838733	27	15	17	1	0	2
SRFA	1	0.388094176	538.059496	0.020687303	22	18	16	0	0	8
SRFA	1	0.02389946	714.128756	-0.294760571	51	22	3	0	1	2
SRFA	1	0.590894609	434.157706	0.053701684	22	26	9	0	0	9
SRFA	1	0.044867864	409.100886	-0.024629621	18	19	10	1	0	7
SRFA	1	0.667484389	496.158076	-0.001368515	23	28	12	0	0	8
SRFA	1	0.157392953	652.200306	-0.045285167	30	36	16	0	0	8
SRFA	1	0.013980263	448.111896	0.225115648	20	20	10	2	0	7
SRFA	1	0.063419938	728.267956	-0.089515129	37	44	15	0	0	6
SRFA	1	0.524213075	396.069296	0.086866112	17	16	11	0	0	9
SRFA	1	0.049835925	622.168686	0.07169599	32	30	13	0	0	6
SRFA	1	0.033020183	516.038976	0.439046294	19	16	17	0	0	6
SRFA	1	0.074678221	624.184106	-0.297135089	32	32	13	0	0	5
SRFA	1	0.082372244	734.075306	-0.303697724	34	22	19	0	0	6
SRFA	1	0.559592838	382.162776	0.020815737	19	26	8	0	0	9
SRFA	1	0.019334618	365.038356	0.164968966	15	11	10	1	0	8
SRFA	1	0.299557156	422.194086	0.042177284	22	30	8	0	0	9
SRFA	1	0.344717727	580.070076	0.04554105	24	20	17	0	0	7
SRFA	1	0.06677313	656.122756	0.421934764	27	28	19	0	0	7
SRFA	1	0.259414426	514.111156	0.057464227	25	22	12	0	0	9
SRFA	1	0.017520629	355.054026	0.225729027	14	13	10	1	0	8
SRFA	1	0.073383937	564.090296	-0.168453527	28	20	13	0	0	7
SRFA	1	0.013320676	497.132126	-0.141258222	25	23	10	1	0	4
SRFA	1	0.387154326	532.194446	-0.030415575	27	32	11	0	0	9
SRFA	1	0.061209698	502.256736	0.13441532	28	38	8	0	0	8
SRFA	1	0.018603845	585.148476	0.402817421	28	27	13	1	0	3
SRFA	1	0.071070154	568.012446	-0.156065242	25	12	16	0	0	7
SRFA	1	0.015142132	340.094696	0.022361419	19	16	6	0	0	8
SRFA	1	0.457706767	470.106086	0.095516738	20	22	13	0	0	9
SRFA	1	0.218252198	388.079476	0.112567148	19	16	9	0	0	9
SRFA	1	0.010294539	414.225336	-0.078075862	21	34	8	0	0	6
SRFA	1	0.018362909	373.079836	0.185890507	18	15	8	1	0	7
